CIPCODE,CIPDESC,CIPDefinition
1301,Education  General.,A program that focuses on the general theory and practice of learning and teaching  the basic principles of educational psychology  the art of teaching  the planning and administration of educational activities  school safety and health issues  and the social foundations of education.
1304,Educational Administration and Supervision.,A  program that focuses on the general principles and techniques of administering a wide variety of schools and other educational organizations and facilities  supervising educational personnel at the school or staff level  and that may prepare individuals as general administrators and supervisors.
1310,Special Education and Teaching.,A general program that focuses on the design and provision of teaching and other educational services to children or adults with special learning needs or disabilities  and that may prepare individuals to function as special education teachers in a collaborative or team environment.  Includes instruction in diagnosing learning disabilities  developing individual education plans  teaching and supervising special education students  special education counseling  and applicable laws and policies.
1312,Teacher Education and Professional Development  Specific Levels and Methods.,A program that prepares individuals to teach adult students in various settings  including basic and remedial education programs  continuing education programs  and programs designed to develop or upgrade specific employment-related knowledge and skills.
1313,Teacher Education and Professional Development  Specific Subject Areas.,A program that prepares individuals to teach vocational agricultural programs at various educational levels.
1408,Civil Engineering.,A program that generally prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of structural  load-bearing  material moving  transportation  water resource  and material control systems; and environmental safety measures.
1410,Electrical  Electronics  and Communications Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of electrical and electronic systems and their components  including electrical power generation systems; and the analysis of problems such as superconductor  wave propagation  energy storage and retrieval  and reception and amplification.
1419,Mechanical Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of physical systems used in manufacturing and end-product systems used for specific uses  including machine tools  jigs and other manufacturing equipment; stationary power units and appliances; engines; self-propelled vehicles; housings and containers; hydraulic and electric systems for controlling movement; and the integration of computers and remote control with operating systems.
1499,Engineering  Other.,Any instructional program in engineering not listed above.
1503,Electrical/Electronic Engineering Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of electrical  electronics and communication engineers.  Includes instruction in electrical circuitry  prototype development and testing  systems analysis and testing  systems maintenance  instrument calibration  and report preparation.
1508,Mechanical Engineering Related Technologies/Technicians.,A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing  manufacturing and testing aircraft  spacecraft and their systems.  Includes instruction in aircraft/spacecraft systems technology  design and development testing  prototype and operational testing  inspection and maintenance procedures  instrument calibration  test equipment operation and maintenance  and report preparation.
1510,Construction Engineering Technology/Technician.,A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers  engineering contractors and other professionals engaged in the construction of buildings and related structures.  Includes instruction in basic structural engineering principles and construction techniques  building site inspection  site supervision  construction personnel supervision  plan and specification interpretation  supply logistics and procurement  applicable building codes  and report preparation.
1901,Family and Consumer Sciences/Human Sciences  General.,A general program that focuses on family and consumer sciences  including how individuals develop and function in family  work  and community settings and how they relate to their physical  social  emotional  and intellectual environments.
2301,English Language and Literature  General.,A general program that focuses on the English language  including its history  structure and related communications skills; and the literature and culture of English-speaking peoples.
2401,Liberal Arts and Sciences  General Studies and Humanities.,A program that is a structured combination of the arts  biological and physical sciences  social sciences  and humanities  emphasizing breadth of study.  Includes instruction in independently designed  individualized  or regular programs.
2601,Biology  General.,A general program of biology at the introductory  basic level or a program in biology or the biological sciences that is undifferentiated as to title or content.  Includes instruction in general biology and programs covering a variety of biological specializations.
2701,Mathematics.,A general program that focuses on the analysis of quantities  magnitudes  forms  and their relationships  using symbolic logic and language.  Includes instruction in algebra  calculus  functional analysis  geometry  number theory  logic  topology and other mathematical specializations.
3105,Sports  Kinesiology  and Physical Education/Fitness.,A general program that focuses on activities and principles that promote physical fitness  achieve and maintain athletic prowess  and accomplish related research and service goals. Includes instruction in human movement studies  motivation studies  rules and practice of specific sports  exercise and fitness principles and techniques  basic athletic injury prevention and treatment  and organizing and leading fitness and sports programs.
4005,Chemistry.,A general program that focuses on the scientific study of the composition and behavior of matter  including its micro- and macro-structure  the processes of chemical change  and the theoretical description and laboratory simulation of these phenomena.
4008,Physics.,A general program that focuses on the scientific study of matter and energy  and the formulation and testing of the laws governing the behavior of the matter-energy continuum.  Includes instruction in classical and modern physics  electricity and magnetism  thermodynamics  mechanics  wave properties  nuclear processes  relativity and quantum theory  quantitative methods  and laboratory methods.
4201,Psychology  General.,A general program that focuses on the scientific study of individual and collective behavior  the physical and environmental bases of behavior  and the analysis and treatment of behavior problems and disorders.  Includes instruction in the principles of the various subfields of psychology  research methods  and psychological assessment and testing methods.
4228,Clinical  Counseling and Applied Psychology.,A program that prepares individuals for the independent professional practice of clinical psychology  involving the analysis  diagnosis  and clinical treatment of psychological disorders and behavioral pathologies.  Includes instruction in clinical assessment and diagnosis  personality appraisal  psychopathology  clinical psychopharmacology  behavior modification  therapeutic intervention skills  patient interviewing  personalized and group therapy  child and adolescent therapy  cognitive and behavioral therapy  supervised clinical practice  ethical standards  and applicable regulations.
4301,Criminal Justice and Corrections  General.,A program of study that focuses on the general study of criminal justice and corrections. Includes instruction in criminology  criminal justice  correctional science  forensic science  law enforcement  psychology  and ethics.
4407,Social Work.,A program that prepares individuals for the professional practice of social welfare administration and counseling  and that focus on the study of organized means of providing basic support services for vulnerable individuals and groups.   Includes instruction in social welfare policy; case work planning; social counseling and intervention strategies; administrative procedures and regulations; and specific applications in areas such as child welfare and family services  probation  employment services  and disability counseling.
4510,Political Science and Government.,A  general program that focuses on the systematic study of political institutions and behavior.  Includes instruction in political philosophy  political theory  comparative government and politics  political parties and interest groups  public opinion  political research methods  studies of the government and politics of specific countries  and studies of specific political institutions and processes.
4511,Sociology.,A program that focuses on the systematic study of human social institutions and social relationships.  Includes instruction in social theory  sociological research methods  social organization and structure  social stratification and hierarchies  dynamics of social change  family structures  social deviance and control  and applications to the study of specific social groups  social institutions  and social problems.
5007,Fine and Studio Arts.,A general program that focuses on the introductory study and appreciation of the visual arts.  Includes instruction in art  photography  and other visual communications media.
5009,Music.,A general program that focuses on the introductory study and appreciation of music and the performing arts.  Includes instruction in music  dance  and other performing arts media.
5102,Communication Disorders Sciences and Services.,A program that focuses on the application of biomedical  psychological  and physical principles to the study of the scientific bases  development  and treatment of speech  language  hearing  and cognitive communication problems caused by disease  injury  or disability. Includes instruction in language science  hearing science  speech and voice science  biology of communication  behavioral linguistics  psychology  and applications to the development of diagnostic and rehabilitative strategies and technologies.
5202,Business Administration  Management and Operations.,A program that generally prepares individuals to plan  organize  direct  and control the functions and processes of a firm or organization.  Includes instruction in management theory  human resources management and behavior  accounting and other quantitative methods  purchasing and logistics  organization and production  marketing  and business decision-making.
5203,Accounting and Related Services.,A program that prepares individuals to practice the profession of accounting and to perform related business functions.  Includes instruction in accounting principles and theory  financial accounting  managerial accounting  cost accounting  budget control  tax accounting  legal aspects of accounting  auditing  reporting procedures  statement analysis  planning and consulting  business information systems  accounting research methods  professional standards and ethics  and applications to specific for-profit  public  and non-profit organizations.
5207,Entrepreneurial and Small Business Operations.,A program that generally prepares individuals to perform development  marketing and management functions associated with owning and operating a business.
5208,Finance and Financial Management Services.,A program that generally prepares individuals to plan  manage  and analyze the financial and monetary aspects and performance of business enterprises  banking institutions  or other organizations.  Includes instruction in principles of accounting  financial instruments  capital planning  funds acquisition  asset and debt management  budgeting  financial analysis  and investments and portfolio management.
5214,Marketing.,A program that generally prepares individuals to undertake and manage the process of developing consumer audiences and moving products from producers to consumers.  Includes instruction in buyer behavior and dynamics  principle of marketing research  demand analysis  cost-volume and profit relationships  pricing theory  marketing campaign and strategic planning  market segments  advertising methods  sales operations and management  consumer relations  retailing  and applications to specific products and markets.
502,Ethnic Studies.,A program that focuses on the interdisciplinary and comparative study of the history  sociology  politics  culture  and economics of North American racial and ethnic groups  including African Americans  American Indians/Native Americans  Hispanic Americans  and Asian Americans.
1104,Information Science/Studies.,A program that focuses on the  theory  organization  and process of information collection  transmission  and utilization in traditional and electronic forms.  Includes instruction in information classification and organization; information storage and processing; transmission  transfer  and signaling; communications and networking; systems planning and design; human interfacing and use analysis; database development; information policy analysis; and related aspects of hardware  software  economics  social factors  and capacity.
1110,Computer/Information Technology Administration and Management.,A program that prepares individuals to manage the computer operations and control the system configurations emanating from a specific site or network hub.  Includes instruction in computer hardware and software and applications; local area (LAN) and wide area (WAN) networking; principles of information systems security; disk space and traffic load monitoring; data backup; resource allocation; and setup and takedown procedures.
1303,Curriculum and Instruction.,A program that focuses on the curriculum and related instructional processes and tools  and that may prepare individuals to serve as professional curriculum specialists.  Includes instruction in curriculum theory  curriculum design and planning  instructional material design and evaluation  curriculum evaluation  and applications to specific subject matter  programs or educational levels.
1306,Educational Assessment  Evaluation  and Research.,A program that focuses on the principles and procedures for generating information about educational programs  personnel and methods  and the analysis of such information for planning purposes.  Includes instruction in evaluation theory  evaluation research design and planning  administering evaluations and related data collection activities  data reporting requirements  data analysis and interpretation  and related economic and policy issues.
1311,Student Counseling and Personnel Services.,A program that prepares individuals to apply the theory and principles of guidance and counseling to the provision of support for the personal  social  educational  and vocational development of students  and the organizing of guidance services within elementary  middle and secondary educational institutions.  Includes instruction in legal and professional requirements  therapeutic counselor intervention  vocational counseling  and related sociological and psychological foundations.
1314,Teaching English or French as a Second or Foreign Language.,A program that focuses on the principles and practice of teaching English to students who are not proficient in English or who do not speak  read or write English  and that may prepare individuals to function as teachers and administrators in such programs.
1401,Engineering  General.,A program that generally prepares individuals to apply mathematical and scientific principles to solve a wide variety of practical problems in industry  social organization  public works  and commerce.  Includes instruction in undifferentiated and individualized programs in engineering.
1405,Biomedical/Medical Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of biomedical and health systems and products such as integrated biomedical systems  instrumentation  medical information systems  artificial organs and prostheses  and health management and care delivery systems.
1409,Computer Engineering.,A program that generally prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of computer hardware and software systems and related equipment and facilities; and the analysis of specific problems of computer applications to various tasks.
1418,Materials Engineering.,A program that prepares individuals to apply mathematical and materials science principles to the design  development and operational evaluation of materials and related processes used in manufacturing in a wide variety of settings; the synthesis of new industrial materials  including marrying and bonding composites; analysis of materials requirements and specifications; and related problems of system design dependent on materials factors.
1601,Linguistic  Comparative  and Related Language Studies and Services.,A general program that focuses on one or more modern foreign languages that is not specific as to the name of the language(s) studied; that is otherwise undifferentiated; or that introduces students to language studies at the basic/elementary level.
1609,Romance Languages  Literatures  and Linguistics  General.,A general program that focuses on one or more of the Romance languages of Western  Central  and Southern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business  science/technology  and other settings.
2602,Biochemistry  Biophysics and Molecular Biology.,A program that focuses on the scientific study of the chemistry of living systems  their fundamental chemical substances and reactions  and their chemical pathways and information transfer systems  with particular reference to carbohydrates  proteins  lipids  and nucleic acids.  Includes instruction in bio-organic chemistry  protein chemistry  bioanalytical chemistry  bioseparations  regulatory biochemistry  enzymology  hormonal chemistry  calorimetry  and research methods and equipment operation.
2604,Cell/Cellular Biology and Anatomical Sciences.,A program that focuses on the scientific study of the structure  function  and regulation of cells as individual units and as components of larger systems.  Includes instruction in cell chemistry  cellular dynamics  cellular replication and reproduction  cell anatomy  membrane function  organelles  cell adhesion and extracellular matrices  cell dynamics and motility  meiosis and mytosis  signal transduction  regulation  recognition and defense mechanisms  the cell cycle  cell metabolism and respiration  gene expression  and studies of cell types and characteristics.
2605,Microbiological Sciences and Immunology.,A program that focuses on the scientific study of unicellular organisms and colonies  and subcellular genetic matter and their ecological interactions with human beings and other life.  Includes instruction in microbial genetics  cell biology  cell physiology  virology  pathogenic microbiology  environmental microbiology  immunology  biostatistics  bioinformatics  and laboratory methods including microscopy.
2608,Genetics.,A general program that focuses on the scientific study of the organization  recombination  function  regulation  and transmission of heritable information in biological organisms at all levels of complexity.  Includes instruction in Mendelian genetics  mechanisms of gene regulation  chromosome structure and replication  epigenetic phenomena  DNA repair and recombination  sex determination  genetic interactions between genomes  and molecular evolution.
2609,Physiology  Pathology and Related Sciences.,A general program that focuses on the scientific study of the functional dynamics  morphology  and biochemical and biophysical communications within organisms and between living systems at all levels of complexity and integration.  Includes instruction in reproduction  growth  hormonal action  vascular function  respiration  digestion  sensory perception and processing  sensorimotor integration  signal encoding and conveyance  homeostasis  physical function and malfunction  evolutionary physiology  and disease processes.
2610,Pharmacology and Toxicology.,A program that focuses on the scientific study of drug interactions on biological systems and organisms and the sources  chemical properties  biological effects  and therapeutic uses of drugs.  Includes instruction in pharmacodynamics  pharmacokinetics  toxicology  drug therapeutics  drug action  bodily responses to drug events  biochemical proliferation and differentiation  apoptosis  cell biology  medicinal chemistry  and studies of specific drugs and drug interactions.
2611,Biomathematics  Bioinformatics  and Computational Biology.,A program that focuses on the application of statistics and other computational methods to the study of problems in the biological sciences and related fields in agriculture and natural resources.  Includes instruction in computational biology  mathematical statistics  matrix algebra  applied calculus  experimental design  linear modeling  sampling theory  stochastic processes  spatial and temporal analysis  longitudinal analysis  sparse/unbalanced data and complex error  and applications to such topics as population genetics  animal breeding  forest genetics  population dynamics  wildlife biometry  ecology  and agricultural and natural resource management.
2612,Biotechnology.,A program that focuses on the application of the biological sciences  biochemistry  and genetics to the preparation of new and enhanced agricultural  environmental  clinical  and industrial products  including the commercial exploitation of microbes  plants  and animals.  Includes instruction in bioinformatics  gene identification  phylogenetics and comparative genomics  bioinorganic chemistry  immunoassaying  DNA sequencing  xenotransplantation  genetic engineering  industrial microbiology  drug and biologic development  enzyme-based production processes  patent law  biotechnology management and marketing  applicable regulations  and biotechnology ethics.
2613,Ecology  Evolution  Systematics  and Population Biology.,A program that focuses on the scientific study of the relationships and interactions of small-scale biological systems  such as organisms  to each other  to complex and whole systems  and to the physical and other non-biological aspects of their environments.  Includes instruction in biogeochemistry; landscape and/or marine/aquatic dynamics; decomposition; global and regional elemental budgets; biotic and abiotic regulation of nutrient cycles; ecophysiology; ecosystem resilience  disturbance  and succession; community and habitat dynamics; organismal interactions (co-evolution  competition  predation); paleoecology; and evolutionary ecology.
2614,Molecular Medicine.,A program that focuses on the scientific study of the molecular and cellular basis of disease  and the application of this knowledge to the development of new clinical and diagnostic tools  medications  and therapies. Includes instruction in cell biology  molecular biology  physiology  pharmacology  biochemistry  genetics  pathology  molecular immunology  research and quantitative methods  and biomedical research computing.
2615,Neurobiology and Neurosciences.,A program that focuses on the interdisciplinary scientific study of the molecular  structural  physiologic  cognitive  and behavioral aspects of the brain and nervous system.  Includes instruction in molecular and cellular neuroscience  brain science  anatomy and physiology of the central nervous system  molecular and biochemical bases of information processing  behavioral neuroscience  biology of neuropsychiatric disorders  and applications to the clinical sciences and biomedical engineering.
2699,Biological and Biomedical Sciences  Other.,Any instructional program in the biological and biomedical sciences not listed above.
2703,Applied Mathematics.,A program that focuses on the application of mathematics to the solution of functional problems in fields such as engineering and the applied sciences.  Includes instruction in natural phenomena modeling continuum mechanics  reaction-diffusion  wave propagation  dynamic systems  numerical analysis  controlled theory  asymptotic methods  variation  optimization theory  inverse problems  and applications to specific scientific and industrial topics.
3006,Systems Science and Theory.,A program with a multidisciplinary approach to the analysis and solution of complex problems  requiring a combined approach using data and models from the natural  social  technological  behavioral and life sciences  and other specialized fields.
3019,Nutrition Sciences.,A scientific program that focuses on the utilization of food for human growth and metabolism  in both normal and dysfunctional states  from the interdisciplinary perspective of the agricultural  human  biological  and biomedical sciences.  Includes instruction in food science  biochemistry  physiology  dietetics  food and nutrition studies  biotechnology  biophysics  and the clinical sciences.
3099,Multi/Interdisciplinary Studies  Other.,Any instructional program in multi/interdisciplinary studies not listed above.
3801,Philosophy.,A program that focuses on ideas and their logical structure  including arguments and investigations about abstract and real phenomena.  Includes instruction in logic  ethics  aesthetics  epistemology  metaphysics  symbolism  and history of philosophy  and applications to the theoretical foundations and methods of other disciplines.
4100,Science Technologies/Technicians  General.,A general program that prepares individuals to apply scientific principles and technical skills in support of scientific research and development. Includes instruction in standard laboratory practices and procedures; techniques for analysis  testing and inspection; laboratory instrumentation and equipment operation and maintenance; laboratory and materials handling safety; and computer applications.
4304,Security Science and Technology.,A program of study that focuses on the general application of science and technology to security.
4404,Public Administration.,A program that prepares individuals to serve as managers in the executive arm of local  state  and federal government and that focuses on the systematic study of executive organization and management.  Includes instruction in the roles  development  and principles of public administration; the management of public policy; executive-legislative relations; public budgetary processes and financial management; administrative law; public personnel management; professional ethics; and research methods.
4502,Anthropology.,A program that focuses on the systematic study of human beings  their antecedents and related primates  and their cultural behavior and institutions  in comparative perspective.  Includes instruction in biological/physical anthropology  primatology  human paleontology and prehistoric archeology  hominid evolution  anthropological linguistics  ethnography  ethnology  ethnohistory  socio-cultural anthropology  psychological anthropology  research methods  and applications to areas such as medicine  forensic pathology  museum studies  and international affairs.
4599,Social Sciences  Other.,Any instructional program in social sciences not listed above.
5005,Drama/Theatre Arts and Stagecraft.,A program that focuses on the general study of dramatic works and their performance.  Includes instruction in major works of dramatic literature  dramatic styles and types  and the principles of organizing and producing full live or filmed productions.
5100,Health Services/Allied Health/Health Sciences  General.,A general  introductory  undifferentiated  or joint program in health services occupations that prepares individuals for either entry into specialized training programs or for a variety of concentrations in the allied health area.  Includes instruction in the basic sciences  research and clinical procedures  and aspects of the subject matter related to various health occupations.
5104,Dentistry.,A program that prepares individuals for the independent professional practice of dentistry/dental medicine  encompassing the evaluation  diagnosis  prevention  and treatment of diseases  disorders  and conditions of the oral cavity  maxillofacial area  and adjacent structures and their impact on the human body and health.  Includes instruction in the basic biomedical sciences  occlusion  dental health and prevention  oral pathology  cariology  operative dentistry  oral radiology  principles of the various dental specialties  pain management  oral medicine  clinic and health care management  patient counseling  and professional standards and ethics.
5105,Advanced/Graduate Dentistry and Oral Sciences.,An integrated or undifferentiated program that generally prepares dentists in one or more of the oral sciences and advanced/graduate dentistry specialties.
5106,Dental Support Services and Allied Professions.,A program that prepares individuals to provide patient care  take dental radiographs (x-ray photographs)  prepare patients and equipment for dental procedures  and discharge office administrative functions under the supervision of dentists and dental hygienists.  Includes instruction in medical record-keeping  general office duties  reception and patient intake  scheduling  equipment maintenance and sterilization  basic radiography  pre- and post-operative patient care and instruction  chairside assisting  taking tooth and mouth impressions  and supervised practice.
5107,Health and Medical Administrative Services.,A program that prepares individuals to develop  plan  and manage health care operations and services within health care facilities and across health care systems.  Includes instruction in planning  business management  financial management  public relations  human resources management  health care systems operation and management  health care resource allocation and policy making  health law and regulations  and applications to specific types of health care services.
5109,Allied Health Diagnostic  Intervention  and Treatment Professions.,A program that prepares individuals to perform invasive  noninvasive  and peripheral examinations of the cardiovascular system at the request of physicians to aid in diagnoses and therapeutic treatments. Includes instruction in reviewing and recording patient histories and clinical data  patient care  investigative and examination procedures  diagnostic procedures  data analysis and documentation  physician consultation  equipment operation and monitoring  and professional standards and ethics.
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,A program that prepares individuals to perform routine and specialized blood testing procedures  collect and process blood donations  and support physicians and other clinicians administering transfusion therapy.  Includes instruction in basic cellular biology  immunohematology  blood bank procedures  blood typing  antigen and antibody identification tests  hemolytic and transfusion responses and diseases  donor selection  blood drawing and storage  blood separation  viral marker testing  laboratory and personnel supervision  safety and sterilization  and applicable laws and regulations.
5112,Medicine.,A program that prepares individuals for the independent professional practice of medicine  involving the prevention  diagnosis  and treatment of illnesses  injuries  and other disorders of the human body. Includes instruction in the basic medical sciences  clinical medicine  examination and diagnosis  patient communications  medical ethics and law  professional standards  and rotations in specialties such as internal medicine  surgery  pediatrics  obstetrics and gynecology  orthopedics  neurology  ophthalmology  radiology  clinical pathology  anesthesiology  family medicine  and psychiatry.
5115,Mental and Social Health Services and Allied Professions.,A program that prepares individuals to help prevent substance abuse  counsel individuals and families with drug and alcohol problems  and perform intervention and therapeutic services for persons suffering from addiction.  Includes instruction in individual and group counseling skills  psychology of addiction  sociology  crisis intervention  substance abuse identification methodologies  substance abuse treatment modalities  substance abuse prevention and treatment resources  pharmacology and behavioral aspects of abused substances  treatment evaluation  patient observation and education  group dynamics  professional standards and ethics  and applicable law and regulations.
5117,Optometry.,A program that prepares individuals for the independent professional practice of optometry and that focuses on the principles and techniques for examining  diagnosing and treating conditions of the visual system. Includes instruction in prescribing glasses and contact lenses  other optical aids  corrective therapies  patient counseling  physician referral  practice management  and ethics and professional standards.
5122,Public Health.,A program that generally prepares individuals to plan  manage  and evaluate public health care services; to function as public health professionals in public agencies  the private sector  and other settings; and to provide leadership in the field of public health. Includes instruction in epidemiology  biostatistics  public health principles  preventive medicine  health policy and regulations  health care services and related administrative functions  public health law enforcement  health economics and budgeting  public communications  and professional standards and ethics.
5123,Rehabilitation and Therapeutic Professions  General.,A program that prepares individuals to work with people who have learning disabilities  mental illness  and physical disabilities in a clinical  educational  or institutional setting. Includes instruction in abnormal psychology  assistive technology  case management  counseling techniques  cultural diversity  disability assessment and measurement  ethics  psychological and physiological aspects of disability  rehabilitation services  rehabilitation science  and vocational counseling.
5131,Dietetics and Clinical Nutrition Services.,A program that prepares individuals to integrate and apply the principles of the food and nutrition sciences  human behavior  and the biomedical sciences to design and manage effective nutrition programs in a variety of settings.  Includes instruction in human nutrition; nutrient metabolism; the role of foods and nutrition in health promotion and disease prevention; planning and directing food service activities; diet and nutrition analysis and planning; supervision of food storage and preparation; client education; and professional standards and regulations.
5138,Registered Nursing  Nursing Administration  Nursing Research and Clinical Nursing.,A program that generally prepares individuals in the knowledge  techniques and procedures for promoting health  providing care for sick  disabled  infirmed  or other individuals or groups.  Includes instruction in the administration of medication and treatments  assisting a physician during treatments and examinations  Referring patients to physicians and other health care specialists  and planning education for health maintenance.
5206,Business/Managerial Economics.,A program that focuses on the application of economics principles to the analysis of the organization and operation of business enterprises.  Includes instruction in monetary theory  banking and financial systems  theory of competition  pricing theory  wage and salary/incentive theory  analysis of markets  and applications of econometrics and quantitative methods to the study of particular businesses and business problems.
5210,Human Resources Management and Services.,A program that generally prepares individuals to manage the development of human capital in organizations  and to provide related services to individuals and groups.  Includes instruction in personnel and organization policy  human resource dynamics and flows  labor relations  sex roles  civil rights  human resources law and regulations  motivation and compensation systems  work systems  career management  employee testing and assessment  recruitment and selection  managing employee and job training programs  and the management of human resources programs and operations.
5212,Management Information Systems and Services.,A program that generally prepares individuals to provide and manage data systems and related facilities for processing and retrieving internal business information; select systems and train personnel; and respond to external data requests.  Includes instruction in cost and accounting information systems  management control systems  personnel information systems  data storage and security  business systems networking  report preparation  computer facilities and equipment operation and maintenance  operator supervision and training  and management information systems policy and planning.
5218,General Sales  Merchandising and Related Marketing Operations.,A program that focuses on the general process and techniques of direct wholesale and retail buying and selling operations and introduces individuals to related careers.  Includes instruction in the principles of entrepreneurial economics  basic sales skills  the distribution channels for goods and services  and supervised practical application experiences.
5401,History.,A program that focuses on the general study and interpretation of the past  including the gathering  recording  synthesizing and criticizing of evidence and theories about past events.  Includes instruction in historiography; historical research methods; studies of specific periods  issues and cultures; and applications to areas such as historic preservation  public policy  and records administration.
1907,Human Development  Family Studies  and Related Services.,A general program that focuses on basic human developmental and behavioral characteristics of the individual within the context of the family.  Includes instruction in the conditions that influence human growth and development; strategies that promote growth and development across the life span; and the study of family systems.
3802,Religion/Religious Studies.,A program that focuses on the nature of religious belief and specific religious and quasi-religious systems.  Includes instruction in phenomenology; the sociology  psychology  philosophy  anthropology  literature and art of religion; mythology; scriptural and textual studies; religious history and politics; and specific studies of particular faith communities and their behavior.
3902,Bible/Biblical Studies.,A program that focuses on the Christian and/or Jewish Bible and related literature  with an emphasis on understanding and interpreting the theological  doctrinal  and ethical messages contained therein.  May include preparation for applying these studies in various religious vocations.
3906,Theological and Ministerial Studies.,A program that focuses on the beliefs and doctrine of a particular religious faith from the intramural point of view of that faith.  Includes instruction in systematic theology  historical theology  moral theology  doctrinal studies  dogmatics  apologetics  and applications to specific questions of ecclesiastical polity and religious life.
3907,Pastoral Counseling and Specialized Ministries.,A program that focuses on the theory and principles of pastoral care and prepares ordained clergy to provide non-clinical pastoral counseling to individuals and groups.  Includes instruction in pastoral leadership  counseling psychology; crisis intervention; individual and group procedures; theological and spiritual counseling; pastoral care; and applications to specific types of ministry.
5205,Business/Corporate Communications.,A program that prepares individuals to function in an organization as a composer  editor  and proofreader of business or business-related communications.
1108,Computer Software and Media Applications.,A program that prepares individuals to apply HTML  CSS  XML  JavaScript  graphics applications  and other authoring tools to the design  editing  and publishing (launching) of documents  images  graphics  sound  and multimedia products on the World Wide Web. Includes instruction in Internet theory  web page standards and policies  elements of web page design  user interfaces  vector tools  special effects  interactive and multimedia components  search engines  navigation  morphing  e-commerce tools  and emerging web technologies.
1402,Aerospace  Aeronautical  and Astronautical/Space Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of aircraft  missiles  space vehicles  and their systems; applied research on flight and orbital characteristics; and the development of systems and procedures for the launching  guidance  and control of air and space vehicles.
1407,Chemical Engineering.,A program that prepares individuals to apply mathematical and scientific principles to the design  development and operational evaluation of systems employing chemical processes  such as chemical reactors  kinetic systems  electrochemical systems  energy conservation processes  heat and mass transfer systems  and separation processes; and the applied analysis of chemical problems such as corrosion  particle abrasion  energy loss  pollution  and fluid mechanics.
