UNITID,CIPCODE,CREDLEV
100690,1907,3
100690,1907,5
100690,2401,2
100690,3802,5
100690,3902,2
100690,3902,3
100690,3902,5
100690,3902,6
100690,3906,5
100690,3906,6
100690,3907,3
100690,3907,5
100690,3907,6
100690,4301,2
100690,4301,3
100690,5115,5
100690,5115,6
100690,5202,2
100690,5202,3
100690,5202,5
100690,5205,3
100690,5210,2
100690,5210,3
100690,5212,2
100690,5212,3
100706,901,3
100706,901,5
100706,1101,3
100706,1101,5
100706,1101,6
100706,1108,5
100706,1108,6
100706,1108,8
100706,1110,5
100706,1301,3
100706,1310,3
100706,1312,3
100706,1312,5
100706,1314,4
100706,1314,8
100706,1401,3
100706,1401,5
100706,1402,3
100706,1402,5
100706,1402,6
100706,1407,3
100706,1407,5
100706,1408,3
100706,1408,5
100706,1408,6
100706,1409,3
100706,1409,5
100706,1409,6
100706,1409,8
100706,1410,3
100706,1410,5
100706,1410,6
100706,1419,3
100706,1419,5
100706,1419,6
100706,1435,3
100706,1435,5
100706,1435,6
100706,1499,3
100706,1499,5
100706,1499,6
100706,1601,1
100706,1601,3
100706,2301,3
100706,2301,5
100706,2313,3
100706,2313,4
100706,2313,8
100706,2601,3
100706,2601,5
100706,2612,6
100706,2701,3
100706,2701,5
100706,2703,6
100706,3001,5
100706,3015,5
100706,3099,3
100706,3099,5
100706,3099,6
100706,3099,8
100706,3105,3
100706,3801,3
100706,4004,5
100706,4004,6
100706,4005,3
100706,4005,5
100706,4008,3
100706,4008,5
100706,4008,6
100706,4010,6
100706,4099,3
100706,4099,5
100706,4099,6
100706,4201,3
100706,4201,5
100706,4404,5
100706,4509,8
100706,4510,1
100706,4510,3
100706,4511,3
100706,5005,3
100706,5007,3
100706,5009,3
100706,5132,4
100706,5138,3
100706,5138,4
100706,5138,5
100706,5138,6
100706,5138,7
100706,5138,8
100706,5202,3
100706,5202,4
100706,5202,5
100706,5202,8
100706,5203,3
100706,5203,4
100706,5203,5
100706,5203,8
100706,5206,3
100706,5208,3
100706,5210,5
100706,5210,8
100706,5212,3
100706,5212,4
100706,5212,5
100706,5212,8
100706,5213,4
100706,5213,5
100706,5213,8
100706,5214,3
100706,5401,3
100706,5401,5
100724,901,3
100724,1104,3
100724,1107,3
100724,1110,5
100724,1301,1
100724,1301,3
100724,1301,5
100724,1301,8
100724,1304,5
100724,1304,6
100724,1304,7
100724,1304,8
100724,1305,5
100724,1305,8
100724,1310,3
100724,1310,5
100724,1311,5
100724,1311,8
100724,1312,3
100724,1312,5
100724,1313,3
100724,1405,3
100724,2301,3
100724,2601,3
100724,2601,5
100724,2605,6
100724,2613,3
100724,2701,3
100724,2701,5
100724,3099,3
100724,3103,3
100724,4005,3
100724,4201,3
100724,4301,3
100724,4301,5
100724,4304,3
100724,4304,5
100724,4407,3
100724,4407,5
100724,4499,5
100724,4510,3
100724,5003,3
100724,5005,3
100724,5007,3
100724,5009,3
100724,5107,3
100724,5123,3
100724,5123,5
100724,5123,6
100724,5123,7
100724,5123,8
100724,5202,3
100724,5203,3
100724,5203,5
100724,5208,3
100724,5214,3
100724,5401,3
100724,5401,5
100751,301,3
100751,501,3
100751,501,5
100751,502,3
100751,502,5
100751,901,3
100751,901,5
100751,901,6
100751,904,3
100751,904,5
100751,907,3
100751,907,5
100751,909,3
100751,909,5
100751,1101,3
100751,1101,5
100751,1101,6
100751,1304,5
100751,1304,6
100751,1304,8
100751,1305,5
100751,1306,3
100751,1306,6
100751,1306,8
100751,1310,3
100751,1310,5
100751,1310,6
100751,1310,8
100751,1311,5
100751,1311,6
100751,1311,8
100751,1312,3
100751,1312,5
100751,1312,6
100751,1312,8
100751,1313,3
100751,1313,5
100751,1314,5
100751,1402,3
100751,1402,5
100751,1402,6
100751,1404,3
100751,1407,3
100751,1407,5
100751,1407,6
100751,1408,3
100751,1408,5
100751,1408,6
100751,1409,3
100751,1410,3
100751,1410,5
100751,1410,6
100751,1411,5
100751,1414,3
100751,1414,5
100751,1418,6
100751,1419,3
100751,1419,5
100751,1419,6
100751,1420,3
100751,1420,5
100751,1433,3
100751,1601,3
100751,1605,5
100751,1609,3
100751,1609,5
100751,1609,6
100751,1901,3
100751,1901,5
100751,1904,3
100751,1904,5
100751,1905,3
100751,1905,5
100751,1905,6
100751,1907,3
100751,1907,5
100751,1909,3
100751,2201,7
100751,2202,5
100751,2202,6
100751,2301,3
100751,2301,5
100751,2301,6
100751,2313,5
100751,2501,5
100751,2601,3
100751,2601,5
100751,2601,6
100751,2605,3
100751,2613,3
100751,2613,5
100751,2701,3
100751,2701,5
100751,2701,6
100751,2703,6
100751,2705,5
100751,2705,6
100751,3000,3
100751,3000,6
100751,3020,1
100751,3105,3
100751,3105,5
100751,3105,6
100751,3801,3
100751,3802,3
100751,3802,5
100751,4005,3
100751,4005,5
100751,4005,6
100751,4006,3
100751,4006,5
100751,4006,6
100751,4008,3
100751,4008,5
100751,4008,6
100751,4010,6
100751,4201,3
100751,4201,5
100751,4201,6
100751,4228,5
100751,4228,6
100751,4228,8
100751,4301,3
100751,4301,5
100751,4404,5
100751,4407,3
100751,4407,5
100751,4407,6
100751,4502,3
100751,4502,5
100751,4502,6
100751,4504,3
100751,4504,5
100751,4507,3
100751,4507,5
100751,4507,6
100751,4509,3
100751,4510,3
100751,4510,5
100751,4510,6
100751,4511,3
100751,5003,3
100751,5003,5
100751,5004,3
100751,5005,3
100751,5005,5
100751,5007,3
100751,5007,5
100751,5009,3
100751,5009,5
100751,5009,6
100751,5102,3
100751,5102,5
100751,5107,3
100751,5109,3
100751,5115,5
100751,5122,3
100751,5122,5
100751,5122,8
100751,5123,5
100751,5131,3
100751,5138,3
100751,5138,5
100751,5138,6
100751,5138,7
100751,5199,3
100751,5199,5
100751,5202,3
100751,5202,5
100751,5202,6
100751,5203,3
100751,5203,5
100751,5203,6
100751,5206,3
100751,5206,5
100751,5206,6
100751,5208,3
100751,5208,5
100751,5208,6
100751,5209,3
100751,5209,5
100751,5212,3
100751,5213,3
100751,5213,5
100751,5213,6
100751,5214,3
100751,5214,5
100751,5214,6
100751,5216,5
100751,5401,3
100751,5401,5
100751,5401,6
100760,1101,1
100760,1101,2
100760,1204,1
100760,1506,1
100760,1506,2
100760,1513,1
100760,1513,2
100760,1907,1
100760,1907,2
100760,2401,2
100760,3099,1
100760,3099,2
100760,4701,1
100760,4701,2
100760,4805,1
100760,5138,1
100760,5138,2
100760,5139,1
100760,5139,2
100760,5202,1
100760,5202,2
100760,5204,1
100760,5204,2
100812,1101,3
100812,1310,3
100812,1312,3
100812,1313,3
100812,1313,5
100812,1399,3
100812,1504,3
100812,2301,3
100812,2401,3
100812,2601,3
100812,2701,3
100812,3018,3
100812,3099,3
100812,3105,3
100812,3802,3
100812,3802,5
100812,4005,3
100812,4008,3
100812,4199,3
100812,4201,3
100812,4301,3
100812,4302,3
100812,4501,3
100812,4510,3
100812,4511,3
100812,5005,3
100812,5007,3
100812,5199,3
100812,5201,3
100812,5202,3
100812,5202,5
100812,5203,3
100812,5210,3
100812,5212,3
100812,5299,3
100812,5401,3
100830,301,3
100830,901,3
100830,1101,3
100830,1101,5
100830,1107,3
100830,1110,5
100830,1304,5
100830,1304,8
100830,1305,5
100830,1305,8
100830,1310,3
100830,1310,5
100830,1310,8
100830,1311,5
100830,1311,8
100830,1312,3
100830,1312,5
100830,1312,7
100830,1312,8
100830,1601,3
100830,1609,3
100830,2301,3
100830,2313,5
100830,2401,3
100830,2401,5
100830,2601,3
100830,2701,3
100830,3000,3
100830,3105,3
100830,3105,5
100830,3201,8
100830,4001,3
100830,4005,3
100830,4201,3
100830,4201,5
100830,4301,3
100830,4301,5
100830,4303,5
100830,4404,5
100830,4404,6
100830,4404,8
100830,4506,3
100830,4506,5
100830,4507,1
100830,4507,3
100830,4507,5
100830,4507,8
100830,4510,3
100830,4510,5
100830,4510,6
100830,4511,1
100830,4511,3
100830,5007,1
100830,5007,3
100830,5007,8
100830,5102,3
100830,5107,5
100830,5110,3
100830,5138,3
100830,5138,5
100830,5138,7
100830,5201,3
100830,5201,5
100830,5202,3
100830,5203,3
100830,5203,5
100830,5206,3
100830,5207,3
100830,5208,3
100830,5210,3
100830,5211,3
100830,5212,3
100830,5212,5
100830,5214,3
100830,5401,3
100858,100,3
100858,101,3
100858,101,5
100858,103,3
100858,103,5
100858,103,6
100858,109,3
100858,109,5
100858,109,6
100858,110,3
100858,111,3
100858,111,4
100858,111,5
100858,111,6
100858,111,8
100858,180,7
100858,301,3
100858,301,4
100858,301,5
100858,301,8
100858,302,3
100858,305,3
100858,305,5
100858,305,6
100858,306,3
100858,402,3
100858,403,5
100858,404,3
100858,405,3
100858,406,5
100858,410,5
100858,901,3
100858,901,5
100858,904,3
100858,907,3
100858,909,3
100858,1101,3
100858,1110,5
100858,1301,5
100858,1301,8
100858,1304,4
100858,1304,5
100858,1304,6
100858,1304,8
100858,1305,5
100858,1310,3
100858,1310,5
100858,1310,6
100858,1310,8
100858,1311,5
100858,1311,6
100858,1311,8
100858,1312,3
100858,1312,4
100858,1312,5
100858,1312,6
100858,1312,8
100858,1313,3
100858,1313,4
100858,1313,5
100858,1313,6
100858,1313,8
100858,1402,3
100858,1402,5
100858,1402,6
100858,1404,3
100858,1404,4
100858,1404,5
100858,1404,8
100858,1407,3
100858,1407,5
100858,1407,6
100858,1408,3
100858,1408,5
100858,1408,6
100858,1409,3
100858,1409,5
100858,1409,6
100858,1410,3
100858,1410,5
100858,1410,6
100858,1418,3
100858,1418,5
100858,1418,6
100858,1419,3
100858,1419,5
100858,1419,6
100858,1432,3
100858,1432,5
100858,1432,6
100858,1435,3
100858,1435,4
100858,1435,5
100858,1435,6
100858,1435,8
100858,1445,3
100858,1445,5
100858,1445,6
100858,1499,3
100858,1605,3
100858,1609,3
100858,1609,5
100858,1905,8
100858,1907,3
100858,1907,5
100858,1907,6
100858,1909,3
100858,1909,5
100858,1999,3
100858,2301,3
100858,2301,5
100858,2301,6
100858,2313,5
100858,2313,8
100858,2601,3
100858,2601,5
100858,2601,6
100858,2605,3
100858,2607,3
100858,2609,3
100858,2609,5
100858,2609,6
100858,2609,8
100858,2612,3
100858,2613,3
100858,2701,3
100858,2701,5
100858,2701,6
100858,2703,3
100858,2703,5
100858,2705,5
100858,3000,3
100858,3019,3
100858,3019,5
100858,3019,6
100858,3801,3
100858,4005,3
100858,4005,5
100858,4005,6
100858,4006,3
100858,4006,5
100858,4006,6
100858,4008,3
100858,4008,5
100858,4008,6
100858,4201,3
100858,4201,5
100858,4201,6
100858,4228,5
100858,4228,6
100858,4404,3
100858,4404,5
100858,4404,6
100858,4404,8
100858,4407,3
100858,4407,5
100858,4502,3
100858,4504,3
100858,4506,3
100858,4506,5
100858,4507,3
100858,4507,5
100858,4507,8
100858,4510,3
100858,4511,3
100858,4511,5
100858,4901,3
100858,5004,3
100858,5004,5
100858,5004,6
100858,5005,3
100858,5007,3
100858,5009,3
100858,5102,3
100858,5102,5
100858,5102,7
100858,5107,3
100858,5110,3
100858,5120,5
100858,5120,6
100858,5120,7
100858,5120,8
100858,5124,7
100858,5125,5
100858,5125,6
100858,5138,3
100858,5138,5
100858,5138,8
100858,5202,3
100858,5202,5
100858,5202,6
100858,5203,1
100858,5203,3
100858,5203,5
100858,5203,8
100858,5206,3
100858,5206,5
100858,5206,6
100858,5208,3
100858,5209,3
100858,5210,3
100858,5211,3
100858,5212,4
100858,5212,5
100858,5212,8
100858,5213,3
100858,5213,4
100858,5213,8
100858,5214,3
100858,5401,3
100858,5401,4
100858,5401,5
100858,5401,6
100858,5401,8
100937,301,3
100937,501,3
100937,901,3
100937,1101,3
100937,1312,3
100937,1313,3
100937,1401,3
100937,1609,3
100937,2301,3
100937,2601,3
100937,2701,3
100937,3020,3
100937,3099,3
100937,3801,3
100937,3802,3
100937,4005,3
100937,4008,3
100937,4201,3
100937,4506,3
100937,4510,3
100937,4511,3
100937,4599,3
100937,5005,3
100937,5007,3
100937,5009,3
100937,5100,3
100937,5202,3
100937,5203,3
100937,5401,3
101028,1101,1
101028,1101,2
101028,1506,1
101028,1506,2
101028,1907,1
101028,2401,2
101028,4301,1
101028,4301,2
101028,4302,1
101028,4302,2
101028,4399,2
101028,5004,1
101028,5004,2
101028,5009,2
101028,5108,1
101028,5108,2
101028,5109,1
101028,5109,2
101028,5138,2
101028,5139,1
101028,5139,2
101028,5202,1
101028,5202,2
101028,5203,2
101028,5204,1
101028,5204,2
101116,1104,2
101116,1104,3
101116,1104,5
101116,1110,3
101116,2203,2
101116,2203,3
101116,3906,7
101116,4201,3
101116,4301,3
101116,4301,5
101116,4404,5
101116,5100,3
101116,5107,3
101116,5107,5
101116,5108,2
101116,5122,3
101116,5138,3
101116,5138,5
101116,5201,2
101116,5202,3
101116,5202,5
101143,1101,1
101143,1101,2
101143,1108,1
101143,1512,1
101143,1907,1
101143,1907,2
101143,2203,1
101143,2203,2
101143,2401,1
101143,2401,2
101143,4706,1
101143,4706,2
101143,5107,1
101143,5109,1
101143,5109,2
101143,5202,1
101143,5202,2
101143,5204,1
101143,5204,2
101161,106,1
101161,106,2
101161,183,2
101161,1003,1
101161,1003,2
101161,1101,1
101161,1101,2
101161,1204,1
101161,1505,1
101161,1506,1
101161,1506,2
101161,1508,1
101161,1512,1
101161,1513,1
101161,1513,2
101161,1905,1
101161,1907,1
101161,2203,2
101161,2401,2
101161,3103,1
101161,3103,2
101161,4604,1
101161,4703,1
101161,4703,2
101161,4706,1
101161,4706,2
101161,4799,1
101161,4805,1
101161,4807,1
101161,5004,1
101161,5004,2
101161,5106,1
101161,5106,2
101161,5108,2
101161,5109,1
101161,5109,2
101161,5138,2
101161,5139,1
101161,5139,2
101161,5202,2
101161,5204,1
101161,5204,2
101161,5209,1
101161,5209,2
101161,5215,1
101189,1101,2
101189,1101,3
101189,1107,3
101189,1303,5
101189,1312,3
101189,1312,5
101189,1313,3
101189,1313,5
101189,2200,2
101189,2200,3
101189,2201,7
101189,2299,2
101189,2299,3
101189,2301,3
101189,2401,2
101189,2401,3
101189,2401,5
101189,2401,6
101189,2601,3
101189,2602,3
101189,2701,3
101189,3000,3
101189,3028,5
101189,3105,3
101189,3800,6
101189,3801,5
101189,3902,3
101189,3902,5
101189,3902,6
101189,3903,3
101189,3906,3
101189,3906,5
101189,3907,3
101189,3907,5
101189,4228,3
101189,4299,3
101189,4301,2
101189,4301,3
101189,4301,5
101189,4501,3
101189,5005,3
101189,5009,3
101189,5111,3
101189,5115,5
101189,5201,3
101189,5202,2
101189,5202,3
101189,5202,5
101189,5203,3
101189,5210,2
101189,5210,3
101189,5212,3
101189,5213,3
101189,5213,5
101189,5401,3
101240,103,1
101240,1101,1
101240,1101,2
101240,1204,1
101240,1204,2
101240,1502,1
101240,1502,2
101240,1503,1
101240,1503,2
101240,1505,1
101240,1505,2
101240,1506,1
101240,1506,2
101240,1513,1
101240,1513,2
101240,1907,1
101240,1907,2
101240,2203,1
101240,2203,2
101240,2401,2
101240,4601,1
101240,4602,1
101240,4603,1
101240,4703,1
101240,4703,2
101240,4706,1
101240,4805,1
101240,4805,2
101240,5107,1
101240,5107,2
101240,5109,1
101240,5109,2
101240,5110,2
101240,5115,2
101240,5135,1
101240,5138,2
101240,5139,1
101240,5203,1
101240,5203,2
101240,5204,1
101240,5204,2
101240,5218,2
101277,1204,1
101286,1101,2
101286,1204,1
101286,1505,1
101286,1505,2
101286,1508,1
101286,1508,2
101286,1513,1
101286,1513,2
101286,1907,1
101286,1907,2
101286,2401,1
101286,2401,2
101286,4102,2
101286,4301,2
101286,4601,1
101286,4603,1
101286,4603,2
101286,4703,1
101286,4703,2
101286,4706,1
101286,4805,1
101286,4805,2
101286,4807,1
101286,5108,1
101286,5108,2
101286,5109,1
101286,5109,2
101286,5138,2
101286,5139,1
101286,5204,2
101295,103,1
101295,1101,1
101295,1101,2
101295,1204,1
101295,1204,2
101295,1205,1
101295,1205,2
101295,1500,1
101295,1500,2
101295,1505,1
101295,1506,1
101295,1506,2
101295,1513,2
101295,1907,1
101295,1907,2
101295,2203,2
101295,2401,2
101295,3099,1
101295,4301,1
101295,4301,2
101295,4604,1
101295,4700,2
101295,4701,1
101295,4701,2
101295,4702,1
101295,4706,1
101295,4805,1
101295,4805,2
101295,4901,1
101295,4901,2
101295,5004,1
101295,5004,2
101295,5106,1
101295,5106,2
101295,5107,1
101295,5107,2
101295,5108,1
101295,5108,2
101295,5109,1
101295,5109,2
101295,5110,2
101295,5115,1
101295,5115,2
101295,5135,1
101295,5138,2
101295,5139,1
101295,5201,2
101295,5202,1
101295,5202,2
101295,5203,2
101295,5204,1
101295,5204,2
101301,1101,1
101301,1101,2
101301,1204,1
101301,1513,1
101301,1513,2
101301,2401,2
101301,4301,1
101301,4601,1
101301,4603,1
101301,4603,2
101301,4703,1
101301,4703,2
101301,4805,1
101301,5138,2
101301,5139,1
101301,5202,2
101301,5204,1
101301,5204,2
101365,1102,2
101365,1102,3
101365,1109,1
101365,1109,2
101365,1110,3
101365,2203,2
101365,2203,3
101365,4301,2
101365,4301,3
101365,4303,3
101365,5004,2
101365,5004,3
101365,5107,1
101365,5107,2
101365,5107,3
101365,5108,1
101365,5108,2
101365,5109,1
101365,5109,2
101365,5138,2
101365,5138,5
101365,5138,8
101365,5139,1
101365,5202,2
101365,5202,3
101365,5202,5
101365,5202,8
101365,5203,1
101365,5203,2
101365,5203,3
101435,901,3
101435,1312,3
101435,1313,3
101435,2301,3
101435,2313,3
101435,2601,3
101435,2602,3
101435,2604,3
101435,2701,3
101435,2703,3
101435,3105,3
101435,3802,3
101435,3904,3
101435,3907,3
101435,4005,3
101435,4201,3
101435,4301,3
101435,4510,3
101435,5007,3
101435,5009,3
101435,5100,3
101435,5109,3
101435,5201,3
101435,5202,3
101435,5203,3
101435,5401,3
101453,3902,2
101453,3902,3
101453,3902,5
101453,3906,5
101462,1101,1
101462,1101,2
101462,1204,1
101462,1204,2
101462,1205,1
101462,1205,2
101462,1503,1
101462,1503,2
101462,1505,1
101462,1505,2
101462,1506,1
101462,1506,2
101462,1508,1
101462,1508,2
101462,1513,1
101462,1513,2
101462,2401,2
101462,4603,1
101462,4805,1
101462,4805,2
101462,5108,1
101462,5108,2
101462,5138,2
101462,5139,1
101462,5202,1
101462,5202,2
101471,106,1
101471,1204,1
101471,1513,1
101471,1513,2
101471,1905,1
101471,4601,1
101471,4602,1
101471,4603,1
101471,4605,1
101471,4702,1
101471,4702,2
101471,4703,1
101471,4706,1
101471,4803,1
101471,4805,1
101471,4807,1
101471,5202,1
101471,5204,1
101471,5204,2
101480,901,3
101480,1101,3
101480,1101,5
101480,1301,5
101480,1301,8
101480,1304,5
101480,1304,8
101480,1305,5
101480,1310,3
101480,1310,5
101480,1311,5
101480,1311,8
101480,1312,3
101480,1312,5
101480,1313,3
101480,1313,5
101480,1503,3
101480,1506,3
101480,1507,3
101480,1599,3
101480,1599,5
101480,1601,3
101480,1901,3
101480,1901,5
101480,2301,3
101480,2301,5
101480,2401,3
101480,2401,5
101480,2601,3
101480,2601,5
101480,2701,3
101480,2701,5
101480,3101,3
101480,3105,5
101480,3105,8
101480,4005,3
101480,4201,3
101480,4201,5
101480,4301,3
101480,4301,5
101480,4404,5
101480,4407,3
101480,4407,5
101480,4499,3
101480,4499,5
101480,4499,6
101480,4499,8
101480,4506,3
101480,4507,3
101480,4507,8
101480,4510,3
101480,4510,8
101480,4511,3
101480,5004,5
101480,5005,3
101480,5007,3
101480,5009,3
101480,5009,5
101480,5100,3
101480,5109,3
101480,5138,3
101480,5138,5
101480,5138,7
101480,5138,8
101480,5201,5
101480,5202,3
101480,5202,5
101480,5203,3
101480,5206,3
101480,5208,3
101480,5214,3
101480,5401,3
101480,5401,5
101505,183,2
101505,1002,1
101505,1002,2
101505,1101,1
101505,1101,2
101505,1203,1
101505,1203,2
101505,1500,1
101505,1500,2
101505,1510,1
101505,1510,2
101505,1907,1
101505,1907,2
101505,2401,2
101505,4301,1
101505,4301,2
101505,4302,1
101505,4302,2
101505,5108,2
101505,5109,1
101505,5109,2
101505,5110,1
101505,5110,2
101505,5138,2
101505,5202,1
101505,5202,2
101505,5203,1
101505,5203,2
101505,5204,1
101505,5204,2
101505,5209,1
101505,5209,2
101514,106,1
101514,1101,1
101514,1101,2
101514,1204,1
101514,1204,2
101514,1506,1
101514,1506,2
101514,1508,2
101514,1513,1
101514,1907,1
101514,1907,2
101514,2401,2
101514,4301,1
101514,4601,1
101514,4602,1
101514,4603,1
101514,4805,1
101514,5004,1
101514,5004,2
101514,5009,2
101514,5106,1
101514,5106,2
101514,5108,2
101514,5109,1
101514,5109,2
101514,5110,2
101514,5138,2
101514,5139,1
101514,5202,1
101514,5202,2
101541,105,3
101541,1301,3
101541,1312,3
101541,1313,3
101541,1399,3
101541,1609,3
101541,2301,3
101541,2401,3
101541,2601,2
101541,2601,3
101541,2701,3
101541,3099,3
101541,3802,3
101541,4005,3
101541,4201,2
101541,4201,3
101541,4301,3
101541,4407,3
101541,4501,3
101541,5007,3
101541,5009,3
101541,5111,3
101541,5138,2
101541,5202,3
101541,5401,3
101569,1002,1
101569,1002,2
101569,1003,1
101569,1101,1
101569,1101,2
101569,1204,1
101569,1205,1
101569,1205,2
101569,1503,1
101569,1505,1
101569,1505,2
101569,1506,1
101569,1506,2
101569,1508,1
101569,1508,2
101569,1513,1
101569,1513,2
101569,1905,1
101569,1907,1
101569,1907,2
101569,2401,2
101569,3099,2
101569,4301,1
101569,4301,2
101569,4407,2
101569,4507,1
101569,4601,1
101569,4602,1
101569,4603,1
101569,4604,1
101569,4604,2
101569,4605,1
101569,4701,1
101569,4701,2
101569,4703,1
101569,4706,1
101569,4706,2
101569,4805,1
101569,5004,1
101569,5004,2
101569,5106,1
101569,5108,1
101569,5109,1
101569,5138,2
101569,5139,1
101569,5201,1
101569,5202,2
101569,5203,1
101569,5203,2
101569,5204,1
101569,5204,2
101569,5215,1
101587,901,3
101587,1304,5
101587,1304,8
101587,1305,5
101587,1305,8
101587,1310,3
101587,1310,5
101587,1310,8
101587,1311,5
101587,1311,8
101587,1312,3
101587,1312,5
101587,1312,8
101587,1313,3
101587,1313,5
101587,1399,5
101587,1399,6
101587,1500,2
101587,1500,3
101587,1508,2
101587,1599,3
101587,2301,3
101587,2601,3
101587,2601,5
101587,2613,3
101587,2613,5
101587,2701,3
101587,3001,3
101587,3099,3
101587,3105,3
101587,4005,3
101587,4201,3
101587,4227,5
101587,4506,3
101587,4511,3
101587,4703,2
101587,5100,3
101587,5109,3
101587,5115,5
101587,5138,2
101587,5202,3
101587,5202,5
101587,5203,3
101587,5208,3
101587,5212,3
101587,5214,3
101587,5401,3
101602,305,1
101602,305,2
101602,1101,1
101602,1101,2
101602,1204,1
101602,1205,1
101602,1505,1
101602,1907,1
101602,1907,2
101602,2401,2
101602,4701,1
101602,4701,2
101602,4706,1
101602,4706,2
101602,4805,1
101602,5109,1
101602,5109,2
101602,5135,1
101602,5138,2
101602,5139,1
101602,5204,2
101648,2401,2
101675,301,3
101675,901,3
101675,999,3
101675,1101,3
101675,1109,3
101675,1312,3
101675,1313,3
101675,1907,3
101675,2301,3
101675,2601,3
101675,2701,3
101675,4005,3
101675,4301,3
101675,4407,3
101675,4510,3
101675,5001,3
101675,5009,3
101675,5201,3
101675,5202,3
101675,5203,3
101675,5212,3
101675,5401,3
101693,901,3
101693,1101,3
101693,1304,5
101693,1312,3
101693,1312,5
101693,1313,3
101693,1907,3
101693,2301,3
101693,2401,2
101693,2401,3
101693,2601,3
101693,2613,3
101693,2701,3
101693,3023,3
101693,3105,3
101693,3801,3
101693,3802,3
101693,3802,5
101693,3905,3
101693,4201,3
101693,4501,3
101693,4510,3
101693,4511,3
101693,5005,3
101693,5007,3
101693,5009,3
101693,5009,5
101693,5009,6
101693,5109,3
101693,5115,5
101693,5138,2
101693,5138,3
101693,5138,5
101693,5138,6
101693,5202,2
101693,5202,3
101693,5202,5
101693,5202,8
101693,5203,3
101693,5210,3
101693,5401,3
101709,301,3
101709,907,3
101709,1301,7
101709,1301,8
101709,1304,5
101709,1304,7
101709,1304,8
101709,1305,7
101709,1305,8
101709,1310,5
101709,1311,5
101709,1312,3
101709,1312,5
101709,1601,3
