UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,NPCURL,NUMBRANCH,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG_ALL,UGDS,PPTUG_EF,CURROPER,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,PFTFAC,MN_EARN_WNE_P6,MD_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MD_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MD_EARN_WNE_P10
101453,2199700,21997,Heritage Christian University,Florence,AL,35630-9977,Association for Bibical Higher Educaiton,www.hcu.edu/,www.hcu.edu/netpricecalculator/,1,2,34.856153,-87.663051,0.6667,0.6667,\N,\N,\N,\N,300,560,\N,\N,430,\N,\N,\N,\N,\N,\N,11,12,\N,\N,\N,12,\N,70,0.6286,1,11532,11532,\N,1,\N,32742,\N,\N,\N,45800,\N,34561
101462,526000,5260,J. F. Drake State Community and Technical College,Huntsville,AL,35811,Southern Association of Colleges and Schools Commission on Colleges,https://www.drakestate.edu/,https://www.drakestate.edu/admissions/tuition-fees/net-price-calculator,1,1,34.771858,-86.572885,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,597,0.5779,1,4830,8820,\N,0.5918,21500,21986,23000,24300,24412,26400,27600,26169
101471,3002500,30025,J F Ingram State Technical College,Deatsville,AL,36022,Council on Occupational Education,www.istc.edu/,istc.edu/NetPrice/,1,1,32.582312,-86.392369,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,399,0.3759,1,5472,5472,\N,1,\N,\N,\N,\N,\N,\N,\N,\N
101480,102000,1020,Jacksonville State University,Jacksonville,AL,36265,Southern Association of Colleges and Schools Commission on Colleges,www.jsu.edu/,www.jsu.edu/finaid/,1,1,33.822938,-85.765321,0.6369,0.6369,420,530,420,540,\N,\N,475,480,\N,18,24,16,23,17,25,\N,\N,21,20,21,\N,1084,6776,0.1316,1,11120,20840,\N,0.7803,31800,34081,32000,34900,36623,35800,38100,39354
101505,102200,1022,Jefferson State Community College,Birmingham,AL,35215-3098,Southern Association of Colleges and Schools Commission on Colleges,www.jeffersonstate.edu/,www.jeffersonstate.edu/financial-aid/net-price-calculator/,1,1,33.652535,-86.707233,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6208,0.6105,1,5850,9840,\N,0.3919,29400,30686,29100,32500,33338,32100,33800,36111
101514,101300,1013,John C Calhoun State Community College,Tanner,AL,35671,Southern Association of Colleges and Schools Commission on Colleges,https://calhoun.edu/,https://calhoun.edu/student-services/financial-aid/net-price-calculator/,1,1,34.645844,-86.949674,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6492,0.6129,1,4940,8930,\N,0.4203,27000,28285,28300,30700,31033,30800,32200,33834
101541,102300,1023,Judson College,Marion,AL,36756,\N,www.judson.edu/,www.judson.edu/net-price-calculator/,1,2,32.629253,-87.315206,0.5648,0.5648,440,580,530,770,\N,\N,510,650,\N,18,23,16,23,15,24,\N,\N,21,20,20,\N,1068,219,0.137,0,18640,18640,\N,0.4,26300,29785,25300,25500,30260,32000,29300,29569
101569,105900,1059,Lawson State Community College,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,www.lawsonstate.edu/,www.lawsonstate.edu/disclosure_and_consumer_information/general_institutional_information/net_price_calculator.aspx,1,1,33.450814,-86.888844,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2612,0.5425,1,4860,8850,\N,0.4655,22700,23621,24200,25700,26785,25600,26600,28016
101587,102400,1024,University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,www.uwa.edu/,secure.uwa.edu/calculator/,1,1,32.588132,-88.186329,0.9313,0.9313,\N,\N,\N,\N,420,530,\N,\N,475,17,22,16,21,16,23,\N,\N,20,19,20,\N,1035,2247,0.2105,1,10990,20090,\N,0.4672,29700,34478,33300,33400,34848,35700,40400,35767
101602,898800,8988,Lurleen B Wallace Community College,Andalusia,AL,36420-1224,Southern Association of Colleges and Schools Commission on Colleges,https://www.lbwcc.edu/,https://www.lbwcc.edu/financial-aid/net-price-calculator,1,1,31.322947,-86.452262,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1081,0.3099,1,4860,8850,\N,0.6742,25500,23629,26300,28200,26210,31600,32000,29717
101648,102600,1026,Marion Military Institute,Marion,AL,36756-3207,Southern Association of Colleges and Schools Commission on Colleges,www.marionmilitary.edu/,marionmilitary.edu/calculator/,1,1,32.623734,-87.322041,0.575,0.575,560,650,540,650,\N,\N,605,595,\N,18,26,17,26,18,26,\N,\N,22,22,22,\N,1147,400,0,1,9418,15418,\N,0.8462,33600,44567,33500,43600,42875,48300,49800,48920
101675,102800,1028,Miles College,Fairfield,AL,35064-2621,Southern Association of Colleges and Schools Commission on Colleges,www.miles.edu/,https://miles.studentaidcalculator.com/survey.aspx,1,2,33.482442,-86.908751,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1438,0.0584,1,12714,12714,\N,0.7545,23100,25928,23100,25600,27631,27600,29500,30470
101693,102900,1029,University of Mobile,Mobile,AL,36613-2842,Southern Association of Colleges and Schools Commission on Colleges,www.umobile.edu/,umobile.edu/financial-aid/cost-calculator/,1,2,30.793247,-88.128934,0.6657,0.6657,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1164,0.0507,1,24310,24310,\N,1,32700,33075,36300,37300,37521,40100,38700,40280
101709,100400,1004,University of Montevallo,Montevallo,AL,35115-6000,Southern Association of Colleges and Schools Commission on Colleges,www.montevallo.edu/,https://www.montevallo.edu/NetPriceCalculator/,1,1,33.10625,-86.865099,0.6052,0.6052,500,600,490,615,470,585,550,553,528,19,26,20,27,17,24,\N,\N,23,24,21,\N,1131,2186,0.086,1,13710,26730,\N,0.6471,28000,32169,30700,32300,34020,35600,36100,38378
101736,569700,5697,Northwest-Shoals Community College,Muscle Shoals,AL,35661,Southern Association of Colleges and Schools Commission on Colleges,https://www.nwscc.edu/,www.nwscc.edu/about-nw-scc/college-departments/student-services/financial-aid/future-students-financial-aid-calculator,1,1,34.739788,-87.678089,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2321,0.5377,1,4831,8821,\N,0.4615,25600,25830,25800,27600,27817,29300,30800,31190
101879,101600,1016,University of North Alabama,Florence,AL,35632-0001,Southern Association of Colleges and Schools Commission on Colleges,www.una.edu/,studentnpc.collegeboard.org/,1,1,34.806738,-87.681361,0.8266,0.8266,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,5411,0.1364,1,10620,20220,\N,0.6631,32100,35791,33700,36300,35625,37300,42800,39316
101897,103100,1031,Northeast Alabama Community College,Rainsville,AL,35986,Southern Association of Colleges and Schools Commission on Colleges,https://www.nacc.edu/,https://www.nacc.edu/Content/Uploads/nacc.edu/files/Financial Aid/net-price-calc/npcalc.htm,1,1,34.545471,-85.911664,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1642,0.4458,1,4860,8850,\N,0.3614,26200,27408,27100,29000,30103,30600,31700,31801
101912,103300,1033,Oakwood University,Huntsville,AL,35896,Southern Association of Colleges and Schools Commission on Colleges,https://www2.oakwood.edu/,https://oakwood.studentaidcalculator.com/,1,2,34.756344,-86.652705,0.8881,0.8881,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1320,0.0614,1,19990,19990,\N,0.8007,25800,28749,29400,32400,33465,35900,37400,37922
101994,569200,5692,Reid State Technical College,Evergreen,AL,36401,Council on Occupational Education,www.rstc.edu/,images.pcmac.org/Uploads/ReidStateTech/ReidStateTech/Divisions/DocumentsCategories/Documents/index_{SIS703AD5AB07EA}.html,1,1,31.460265,-86.964797,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,212,0.5377,1,4920,8910,\N,0.5313,25300,23349,22200,26700,26868,23700,26800,24403
102030,103000,1030,Bishop State Community College,Mobile,AL,36603-5898,Southern Association of Colleges and Schools Commission on Colleges,www.bishop.edu/,https://www.bishop.edu/assets/uploads/pages/Net-Price-Calculator-2020.html,1,1,30.693972,-88.056982,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1628,0.5381,1,4860,8850,\N,0.4552,23500,22171,23600,26200,24665,26700,28300,26480
102049,103600,1036,Samford University,Birmingham,AL,35229-2240,Southern Association of Colleges and Schools Commission on Colleges,www.samford.edu/,https://www.samford.edu/admission/net-price-calculator,1,2,33.464128,-86.791799,0.8399,0.8399,540,640,520,600,500,610,590,560,555,23,29,23,32,21,27,\N,\N,26,28,24,\N,1219,3573,0.0202,1,34198,34198,\N,0.9873,45200,45778,46500,50700,46732,58100,59800,53223
102067,569100,5691,Shelton State Community College,Tuscaloosa,AL,35405-8522,Southern Association of Colleges and Schools Commission on Colleges,www.sheltonstate.edu/,apps.sheltonstate.edu/netpricecalculator/npcalc.htm,1,1,33.120531,-87.56148,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3272,0.5159,1,4560,8550,\N,0.5562,25900,27172,24700,27100,30202,26900,31100,30880
102076,103800,1038,Snead State Community College,Boaz,AL,35957-0734,Southern Association of Colleges and Schools Commission on Colleges,www.snead.edu/,www.snead.edu/financial_aid/net_price_calculator.aspx,1,1,34.201495,-86.169897,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1489,0.3606,1,5344,9600,\N,0.2714,25700,28272,25600,29800,29578,28000,30700,30808
102094,105700,1057,University of South Alabama,Mobile,AL,36688-0002,Southern Association of Colleges and Schools Commission on Colleges,www.southalabama.edu/,www.southalabama.edu/departments/finaid/netpricecalculator/,1,1,30.696033,-88.178711,0.7303,0.7303,503,610,480,580,440,560,557,530,500,20,27,20,28,18,25,6,8,24,24,22,7,1162,8787,0.1345,1,8396,16292,\N,0.628,35100,36829,37300,42400,40229,43300,46800,43123
102234,104100,1041,Spring Hill College,Mobile,AL,36608-1791,Southern Association of Colleges and Schools Commission on Colleges,https://www.shc.edu/,https://www.shc.edu/admissions-aid/tuition-financial-aid/net-price-calculator/,1,2,30.694751,-88.138199,0.5416,0.5416,490,590,510,560,\N,\N,540,535,\N,20,25,21,27,17,24,\N,\N,23,24,21,\N,1125,1058,0.0227,1,41868,41868,\N,0.6864,34800,37808,36000,44000,43725,46600,51300,47960
102270,104400,1044,Stillman College,Tuscaloosa,AL,35401,Southern Association of Colleges and Schools Commission on Colleges,https://stillman.edu/,https://stillman.edu/admissions/cost-of-attendance/,1,2,33.200006,-87.585278,0.5553,0.5553,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,699,0.0701,1,11322,11322,\N,0.7288,24900,27831,23800,28700,30940,26700,33700,32146
102298,104600,1046,Talladega College,Talladega,AL,35160,Southern Association of Colleges and Schools Commission on Colleges,www.talladega.edu/,www.talladega.edu/netcalc/npcalc.htm,1,2,33.433472,-86.112704,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1142,0.0394,1,13866,13866,\N,0.5694,24200,23545,20900,25600,26509,26300,23900,28412
102313,573400,5734,H Councill Trenholm State Community College,Montgomery,AL,36108-3199,Southern Association of Colleges and Schools Commission on Colleges,www.trenholmstate.edu/,www.trenholmstate.edu/net-price-calculator/,1,1,32.350109,-86.343057,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1335,0.5206,1,4770,8760,\N,0.5045,24400,24217,25900,25400,26348,25900,28000,26057
102368,104700,1047,Troy University,Troy,AL,36082-0001,Southern Association of Colleges and Schools Commission on Colleges,www.troy.edu/,www.troy.edu/net-price-calculator/index.html,4,1,31.800672,-85.957094,0.9243,0.9243,475,565,460,540,\N,\N,520,500,\N,18,25,18,26,16,24,\N,\N,22,22,20,\N,1094,12294,0.3356,1,8908,16708,\N,0.5375,34300,32760,35900,37500,35997,38800,41100,39339
102377,105000,1050,Tuskegee University,Tuskegee,AL,36088-1920,Southern Association of Colleges and Schools Commission on Colleges,www.tuskegee.edu/,npc.collegeboard.org/app/tuskegee?iframe=true,1,2,32.4309,-85.708492,0.6113,0.6113,450,525,410,520,\N,\N,488,465,\N,18,24,17,24,16,23,\N,\N,21,21,20,\N,1016,2280,0.0482,1,22614,22614,\N,0.8718,34500,35093,33900,39000,39220,40100,42200,44419
102395,2170600,21706,United States Sports Academy,Daphne,AL,36526-7055,Southern Association of Colleges and Schools Commission on Colleges,www.ussa.edu/,https://ussa.edu/admissions/net-price-calculator/,1,2,30.639329,-87.91163,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,130,0.7615,1,\N,\N,\N,0.4545,35700,40709,\N,51100,44289,\N,\N,48817
102429,573300,5733,Bevill State Community College,Jasper,AL,35501,Southern Association of Colleges and Schools Commission on Colleges,www.bscc.edu/,www.bscc.edu/Content/Uploads/bscc.edu/files/BSCCNetPriceCalculator.html,1,1,33.836929,-87.266406,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2230,0.5686,1,5214,9470,\N,0.2997,26600,26570,26600,29100,29653,28300,31300,30413
102553,1146200,11462,University of Alaska Anchorage,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,www.uaa.alaska.edu/,www.uaa.alaska.edu/financialaid/customcf/npcalc.htm,1,1,61.190163,-149.82619,0.7683,0.7683,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8257,0.4772,1,8622,25228,\N,0.5181,41500,37355,41900,46300,43160,44500,51200,47891
102580,884300,8843,Alaska Bible College,Palmer,AK,99645,Association for Bibical Higher Educaiton,www.akbible.edu/,www.akbible.edu/admissions/tuition-aid/net-price-calculator/,1,2,61.598553,-149.111972,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,36,0.2222,1,9700,9700,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
102614,106300,1063,University of Alaska Fairbanks,Fairbanks,AK,99775,Northwest Commission on Colleges and Universities,www.uaf.edu/,uaf.edu/finaid/costs/net-price-calculator.php,1,1,64.85756,-147.823146,0.6701,0.6701,530,640,520,630,450,570,585,575,510,18,26,16,24,17,26,6,8,22,20,22,7,1138,4259,0.4499,1,7176,21312,\N,0.6131,36500,35456,36800,40400,39000,41600,45100,43728
102632,106500,1065,University of Alaska Southeast,Juneau,AK,99801-8697,Northwest Commission on Colleges and Universities,www.uas.alaska.edu/,uas.alaska.edu/apply/cost-calculator.html,1,1,58.384846,-134.638255,0.6352,0.6352,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1063,0.5447,1,6960,21096,\N,0.5583,35200,35319,35000,38300,39000,38600,39500,40727
