RatingValue,PersonId,UnitId
0.2,47157,443252
3.9,33900,224271
1.8,8946,151801
0.2,26566,419031
3.7,40839,439914
2.4,51135,366535
4.0,12136,455488
0.8,21187,189583
2.5,49852,451741
2.2,1707,495943
4.8,15523,492661
2.0,5162,169284
0.5,35664,229355
0.1,48921,111799
1.5,4058,441414
4.0,14533,496423
0.6,50591,493655
3.2,53014,200527
1.4,39940,198640
0.6,15301,221236
1.9,22115,382957
0.5,41958,488305
2.3,24549,111081
2.6,38392,158088
0.7,16855,49576702
0.0,36747,161299
4.1,26485,231536
4.7,12331,438221
2.0,41441,490498
3.8,27730,237039
0.5,42860,476230
1.1,40282,442639
3.0,6029,455178
3.7,35944,161235
4.5,34693,206279
2.0,46239,496061
1.6,10243,211802
0.2,2008,134510
0.1,55341,218733
0.1,16823,219879
3.5,58200,100690
4.2,25940,239309
1.5,42949,158884
2.5,2857,135160
4.0,40043,147697
3.0,29443,207209
2.2,56706,171881
3.7,22660,482097
2.8,12619,486983
1.1,24800,190150
1.4,2961,442523
0.3,41352,450702
0.2,1114,115755
0.8,52460,486345
2.0,54593,215530
0.4,17692,491996
4.6,33895,246895
3.4,44632,146603
3.2,8646,133979
1.5,29502,110644
3.5,6279,106360
4.8,10444,217475
1.1,52474,248934
4.3,23360,150455
1.6,31606,208725
1.4,26083,216311
1.6,14800,179566
0.2,51846,191649
2.8,46201,134422
1.8,14308,146296
1.5,4210,484066
1.7,50651,495110
0.4,41362,169187
1.7,42684,121363
2.7,8550,434140
2.7,19916,481252
0.8,8113,178183
4.4,50472,161581
4.0,6105,133669
4.7,19657,480204
0.0,24842,438504
1.1,13775,168546
0.1,44609,203465
2.5,30940,154572
3.1,55319,153977
4.0,42310,177685
1.0,37065,490197
2.5,435,455026
4.6,52017,444857
4.5,19071,460093
2.3,51088,449782
3.1,17446,23368409
4.6,228,457378
4.9,16884,199795
4.1,48524,202453
4.5,10905,126669
1.5,26973,494588
1.5,5615,219994
1.8,21167,175883
2.0,13369,419253
4.1,11484,183725
4.8,41630,10415110
2.5,49873,126580
0.4,35806,166133
4.1,41512,490230
1.6,23338,485591
0.3,14954,493804
1.4,43215,223816
2.9,56924,220598
1.1,9485,438735
2.4,26143,413778
3.1,4729,122375
1.9,990,158787
1.0,48502,142179
0.3,16636,106360
1.2,47315,155140
4.7,23246,449889
3.3,14780,219259
0.6,59907,445911
1.7,17076,451051
3.6,52379,13508101
5.0,8795,439747
4.8,28472,238759
1.2,40627,171137
3.6,8764,237729
0.2,26393,484668
0.5,10296,20750002
2.3,25696,448424
5.0,30895,228796
4.4,48060,194718
0.3,23286,49175601
1.2,49063,107831
1.7,7683,232052
4.3,56468,160199
0.6,57993,216339
3.3,21520,157614
0.6,30436,489371
4.1,13222,218335
3.2,56147,444468
2.7,52306,138275
1.1,46240,214175
0.1,29243,184968
0.9,29593,220765
1.8,5951,148131
0.8,47260,159939
2.2,59409,151290
0.4,44313,15492502
2.6,34581,213996
2.0,11748,219505
0.9,34061,21287802
3.8,2023,106263
3.5,16522,151351
4.1,43874,125037
1.4,52997,484048
4.0,32706,372028
2.0,28566,236595
4.3,29639,215983
4.5,15709,461713
0.1,41706,141565
0.7,54650,445203
2.1,34340,431600
2.9,49617,107664
0.7,30220,457378
4.5,39569,122375
3.4,21077,486813
2.4,2708,240116
4.4,56679,160010
2.1,22698,45897305
2.8,1200,153427
3.3,52258,227748
0.1,12423,493558
3.7,33200,439844
1.6,26456,141608
2.7,56982,447467
0.7,24831,130943
4.1,56837,431275
4.3,50800,448707
3.8,21869,482468
2.3,50622,485768
3.6,12202,260965
2.5,25045,454698
0.2,43334,196246
3.6,57411,486530
2.9,807,128498
0.4,28544,482185
1.7,41442,47503313
3.2,9313,138558
1.2,52782,121901
3.9,28713,183202
3.6,24042,229416
4.0,33221,495101
1.7,51942,204705
4.9,4457,37728103
1.8,24398,195049
3.7,9085,247825
1.1,47840,16210401
4.8,5618,162104
1.9,32470,161527
2.9,3653,228608
3.8,14192,487454
0.9,2271,377272
0.6,2612,179566
0.5,53212,475635
3.7,15758,486707
3.6,35850,104577
4.3,40357,143491
3.9,43463,107512
1.1,37054,491880
4.3,40468,449135
1.7,32534,13508108
3.5,47783,486080
3.3,2033,459019
3.3,57284,124283
3.6,23,368629
1.5,49577,215619
2.8,52885,106245
3.2,39820,120342
2.3,32092,185873
2.2,10093,155627
0.2,694,437325
1.2,39754,459055
3.9,44194,149365
2.7,29276,237039
4.0,32975,212577
2.6,10795,193292
1.6,4211,442806
0.2,29603,368647
0.6,7995,202888
4.5,9880,235699
4.2,58299,44867302
4.4,26478,220321
2.0,32141,198677
0.1,26242,196884
0.9,29133,383525
2.1,41415,170657
4.5,54104,461555
4.6,57399,373085
4.6,16459,122180
2.2,40209,179308
2.0,19507,460482
0.5,50843,232025
4.3,39817,101505
3.9,48370,193858
4.4,10005,432117
0.2,3802,41724801
3.9,47831,436836
1.7,2062,24297205
0.3,44163,128771
1.4,14028,157021
0.1,5899,449393
0.5,59992,133526
0.2,40503,454777
2.8,53004,446084
1.8,26048,242644
4.1,45400,217882
0.4,49334,155858
3.3,18385,167783
4.1,1650,447698
1.4,19386,491181
1.5,27974,49576711
1.2,57187,45316301
1.2,30281,16947918
2.1,43912,237880
0.7,59460,16884707
0.9,14161,449366
2.7,59867,200800
1.1,31259,105206
2.2,6586,221953
2.3,20517,459116
1.1,51719,428019
4.2,17391,199582
1.7,47634,154572
2.7,49155,212753
4.2,40677,457819
1.7,13397,421610
0.9,32332,237385
4.0,58381,213543
2.0,31335,187897
1.0,31522,490540
4.2,48119,137476
0.9,21982,419633
2.1,45279,127653
2.8,42934,437857
3.5,39776,199926
0.3,6614,13017408
4.2,46208,487427
0.5,11351,483939
2.5,41203,196440
0.8,4110,459198
1.9,30841,491066
4.2,35750,468963
2.2,42975,101365
2.5,1008,235158
3.4,39427,477002
1.7,15460,212993
3.5,16943,167215
0.3,4910,233408
0.7,47094,186900
1.7,2659,167260
1.8,18225,457925
3.0,23127,383330
1.3,15528,455141
1.9,23480,16947925
4.1,22300,199218
2.0,52058,491136
3.0,12657,488004
4.5,2325,442985
2.6,57476,440031
1.5,35250,238032
1.0,36050,145691
2.9,12232,169716
4.4,39563,195243
4.5,11024,459532
4.4,15296,140146
3.1,42509,184791
4.5,3418,49178301
1.2,33459,454698
2.3,54651,407355
1.1,1547,451167
2.7,35236,155618
0.8,55130,481191
2.9,6216,217882
3.3,59075,192970
2.2,6585,491729
3.9,18143,166647
0.8,17178,183877
1.9,892,372462
2.2,4465,458052
2.1,49169,193609
2.9,56862,128328
3.3,1551,445054
1.2,30846,217873
4.5,41674,42799101
0.3,30899,481845
3.3,14119,450720
2.6,10668,213011
0.4,38188,475200
4.4,13153,20306701
0.4,46928,458140
0.5,43104,107293
1.4,15810,141574
3.3,39935,113449
2.4,39425,456551
0.0,23859,474890
3.4,59800,490832
4.2,11766,455257
0.0,4911,457943
1.8,49294,484039
0.5,43733,468291
4.3,30722,183877
1.7,3137,232052
2.3,57403,173452
4.9,3902,169099
1.5,44661,195526
4.6,12555,174604
2.3,32230,150455
1.1,35638,44473201
1.1,32632,492643
1.6,26644,451750
0.1,59663,126562
1.8,14729,122931
1.2,11205,417503
0.2,53738,224554
2.3,45381,162654
0.3,54686,126915
1.1,50719,231095
0.1,14202,461591
0.3,10051,376695
3.9,43384,153977
2.2,29243,19385801
1.5,18039,447467
0.2,36258,11508306
4.7,55359,216764
4.1,39516,230746
1.7,38875,169947
3.6,36644,492722
2.2,31650,196097
1.2,42090,10772501
0.1,33445,455804
2.7,721,495448
2.4,52917,493488
2.1,5712,462035
1.1,50380,200697
4.6,30339,140252
3.5,30532,115126
4.6,6634,445027
2.6,31572,198066
2.2,8034,243823
2.8,45760,207786
3.0,38390,111188
4.5,36267,405872
0.8,55052,373711
0.7,3434,183026
2.9,50637,490841
2.6,43554,377281
4.7,10790,495138
1.4,5252,40884401
0.3,15364,177940
0.8,17483,240471
4.0,1478,166683
1.0,29463,224110
3.6,45885,172680
0.7,56894,467094
4.2,45263,19457801
2.7,34202,442392
4.0,31409,227225
2.6,57647,459532
4.1,57541,222983
4.1,14818,216348
4.3,18539,162371
0.7,33353,24378008
4.0,39179,450298
2.1,8144,168148
2.6,38104,215619
3.4,2085,171146
2.9,34325,24893402
1.3,57393,110778
3.6,46696,475653
3.1,18041,169363
1.0,33872,461254
1.4,53378,164614
4.3,4385,488253
4.3,55213,131520
2.9,18118,160649
3.7,43932,196219
2.6,26303,107123
2.3,31078,390905
4.8,59297,494162
1.6,56214,23368407
0.7,51000,217998
4.8,26607,195030
0.7,15601,458061
1.2,24421,446640
0.6,9666,378105
2.9,50398,12697902
0.7,13838,182634
1.5,3867,476896
2.9,53442,457776
2.1,16450,461388
3.4,51452,177214
1.4,43581,137777
3.5,59678,212300
4.9,46685,226806
2.2,24164,175005
4.2,53518,460996
2.6,55768,153597
3.0,4049,170055
0.4,47361,48511101
3.8,54691,215114
0.3,17371,242635
1.9,13640,122728
1.7,56766,482468
1.2,29713,239248
0.7,51636,170055
3.3,11682,480912
2.8,11328,446109
2.1,33449,155007
2.2,56406,143473
4.7,8352,461944
2.0,36419,163976
4.4,51180,166498
4.7,10144,156295
2.1,16164,407629
2.4,13809,196219
2.4,3987,458496
2.0,32458,212656
2.9,31266,130004
1.8,3918,491589
4.1,27934,446604
1.8,17546,199032
3.9,26024,493813
4.7,21125,444565
2.5,38715,178527
2.5,2821,237303
2.2,9879,15085301
2.1,31030,104586
1.1,33564,123484
4.6,37562,180878
4.7,39156,157809
1.4,52248,17706533
2.7,45286,180090
2.4,11220,166452
2.4,37830,184694
3.5,57601,232797
4.4,3201,17391101
0.4,55904,218681
2.6,45025,142285
4.0,3887,101505
3.6,39265,196653
3.8,30954,457402
3.3,7348,17706542
4.7,34698,219295
1.7,8396,149028
2.6,20577,109208
3.1,50390,215062
1.6,48390,106892
1.2,28544,177117
1.3,50773,188100
1.3,7607,382957
0.5,14004,209083
0.6,7875,484376
1.5,19247,237640
1.3,13221,218751
1.3,5299,491525
0.9,43336,166513
1.5,55541,491251
3.6,2372,188289
2.1,53806,183938
0.8,24148,483911
2.9,13998,45891906
3.0,43269,487375
1.9,3250,485388
1.0,31470,241395
1.1,7277,442392
0.3,41392,450021
2.9,12817,215062
2.4,12234,24378004
4.5,10311,199087
1.8,35688,241216
4.6,21245,177977
4.4,39441,193399
1.4,49812,491215
3.8,36085,179566
3.6,3944,407461
0.8,17434,481429
4.5,28739,202152
3.0,49264,17706524
2.5,43070,139995
2.5,22408,475662
2.5,33398,24297222
3.9,28875,200059
3.8,10896,13962101
0.2,41869,245777
4.2,57337,154004
0.1,49659,228866
0.7,29065,450571
1.8,3287,488907
1.0,47522,492306
1.3,13337,169220
0.2,45027,218681
0.8,53309,166647
2.8,21656,162706
1.4,10875,219602
4.1,24090,145558
3.6,17353,41829601
1.6,41368,367972
4.5,6795,137087
3.5,4660,190521
1.7,42779,480569
4.0,6230,105330
1.0,38943,158617
2.5,30928,154688
1.8,25746,100663
1.9,51278,193858
2.3,2231,155089
3.6,30976,112260
2.1,4014,163578
1.0,54572,166391
1.3,48558,415987
4.4,10538,240790
3.6,41648,461573
1.5,18785,261436
1.0,52956,187648
2.2,256,440059
2.8,20929,245847
2.5,31218,150941
3.1,5362,141060
3.4,31393,480930
0.9,16978,157793
0.8,21815,226204
3.5,13037,236452
1.0,15998,190080
0.7,3064,125091
3.1,27466,157793
0.5,57625,409537
0.4,52471,454582
3.3,53157,217633
3.3,9119,237330
5.0,58124,460835
3.2,35661,481571
4.9,1902,444671
0.5,12646,377193
2.1,50384,247773
0.0,7764,180489
3.9,36522,189282
0.4,15437,485856
4.6,4669,228431
1.7,18116,445744
1.6,19621,106458
4.7,18036,10415107
1.4,6867,101709
4.6,55716,191728
5.0,18322,157058
0.5,35770,159601
3.3,3039,433174
3.8,36678,128896
4.8,2517,493646
3.5,40172,475565
0.5,26974,170091
4.5,32913,459125
3.6,12192,188854
2.3,23244,100830
3.9,58260,211556
3.6,884,201803
3.9,42225,141361
3.2,6113,202514
1.6,29086,448798
4.9,15470,418126
4.9,47455,451334
0.2,33819,16061202
2.9,33547,444325
2.5,44232,153302
4.2,2546,400558
1.3,20435,227401
4.0,613,207740
4.9,59625,169576
0.7,57268,156310
2.9,58288,483470
4.8,7637,468246
2.1,26810,449506
4.7,1132,447795
4.3,28669,393861
4.6,18751,172635
0.3,41348,232308
2.6,58409,494357
1.8,20904,196121
3.3,43278,18958302
2.2,13860,434159
4.2,22666,48065701
1.5,55251,109785
3.6,53811,459019
3.1,45218,164641
1.1,34879,240985
3.4,38418,177092
2.3,55937,366155
1.3,53463,428019
3.5,35477,491923
2.8,54487,494834
1.5,8976,491774
1.0,22712,180957
4.7,32883,204820
1.3,27410,215992
0.1,25735,19998001
0.7,33242,480790
1.6,42281,146807
3.5,28263,230603
1.5,2315,153445
0.7,12153,448017
2.3,54641,141255
4.0,25685,147776
1.3,44389,172617
3.8,23997,451291
2.9,27669,177685
2.5,30043,493646
2.6,41667,202514
5.0,58722,461218
3.6,44816,484349
2.7,27577,246813
2.2,13654,459949
4.1,39156,365374
1.8,29202,137209
4.3,33233,223506
0.3,21732,13508116
2.8,58051,457110
0.7,55364,444316
3.1,56005,495970
1.4,28425,238573
1.8,16464,115746
1.6,53802,235671
2.7,54310,437769
4.2,13119,459967
4.9,32255,121433
3.0,56289,155399
1.4,26890,152497
1.2,44411,496371
3.1,35011,176983
2.3,27675,481401
2.5,19326,494764
3.5,20326,124113
3.8,56252,444583
2.2,3739,487296
4.8,39708,120166
4.8,5074,169275
2.2,18796,207315
3.6,26253,484604
2.2,12152,494436
4.8,33714,24893418
4.5,50923,159027
1.3,36499,160658
3.0,30689,416458
0.8,42720,226578
2.3,28082,489760
0.1,35745,447847
1.6,32578,217059
1.2,50603,150455
4.5,23718,120838
1.9,55978,123165
3.4,17800,475705
4.3,23433,400558
3.8,49390,151777
0.8,36366,485458
4.9,35373,105543
3.5,35516,243133
1.0,14431,240125
4.6,36363,188003
0.2,27508,244233
2.6,52657,113704
0.4,59185,215691
3.6,21250,113980
2.9,35501,203535
0.5,30502,156408
3.2,35356,187745
1.1,37301,14736902
4.5,7156,102845
4.0,42350,221740
4.3,36899,178527
4.5,5137,152390
2.1,41150,217794
0.9,33068,24893401
1.0,44046,155593
1.8,35577,196431
2.1,57909,173452
1.5,8203,209038
4.7,29133,369455
4.1,17386,179308
1.1,51437,237242
3.6,43087,418348
2.8,57260,133669
2.1,7721,146700
3.1,47665,176017
1.1,4177,130183
2.8,28325,170541
1.7,43664,493594
1.4,59318,233772
3.6,19502,210155
2.3,55112,157793
3.8,40012,225247
3.9,23758,204884
2.4,41336,183202
2.3,57542,230977
4.0,33435,445850
2.5,568,211130
4.7,37404,11917301
2.7,53349,457493
1.7,51271,182634
1.2,29520,448646
3.3,47165,115409
0.4,25717,192819
0.1,44816,127556
3.3,13642,17501404
3.2,26998,417831
3.8,32907,395690
0.3,34202,210401
2.1,58603,153533
3.8,37378,164641
1.3,40072,227058
2.0,41675,169503
4.7,17293,105659
4.7,21270,44970002
0.5,41742,176062
0.3,22061,100690
3.6,49427,184694
4.0,35926,454847
2.6,50393,449728
1.3,54645,211352
1.2,40054,198677
3.2,50930,177986
0.5,38718,123350
5.0,87,488059
0.5,2532,20651601
0.2,37186,420981
1.7,55285,130989
3.1,47794,196033
4.2,585,175980
0.0,48626,489344
1.4,7228,137856
1.7,12236,137865
3.2,21768,207935
1.4,37389,133386
3.5,18560,436836
3.5,10327,151810
4.5,25714,416801
0.1,22475,139393
0.7,37796,175014
0.5,27647,417840
0.0,5270,144564
1.4,15801,15098709
0.2,46962,107789
4.2,49757,175786
4.0,46463,377111
0.6,4185,104425
3.8,59626,485704
3.8,52069,369783
1.4,1442,440730
0.8,45407,152390
2.7,22567,196431
1.7,49549,228547
3.5,43946,13830901
1.7,10871,216010
1.8,56922,449339
0.5,31454,159601
1.1,1354,24378003
2.9,21790,232575
1.4,5501,495217
4.1,5117,493594
4.7,38709,155681
3.1,185,161253
0.1,10939,237552
3.9,16141,219921
3.7,42164,185828
2.2,26220,24297221
4.5,29927,164465
2.0,7536,154749
3.0,57138,485768
3.2,1035,166054
2.2,57035,165495
1.8,8486,389860
4.8,535,198233
4.3,57614,196097
0.9,54592,219082
2.9,12080,374024
2.8,3372,213525
1.8,28646,246813
1.8,50689,481474
2.9,9181,186380
0.3,57894,491297
3.1,15035,404222
3.7,40137,378956
4.5,32015,454582
0.4,34117,434821
3.3,48045,135160
2.4,32456,188854
2.8,26970,165820
3.9,13554,248660
4.6,37934,194666
3.0,52426,45891903
0.3,52454,235431
0.5,44309,437723
2.0,14278,120254
0.7,52114,199740
0.7,18171,170301
4.0,36895,494472
2.1,53001,220002
3.8,58774,451583
3.9,46891,439932
0.7,45201,227225
0.3,3834,123095
4.1,49310,201548
3.2,50695,439783
2.9,2722,480790
1.0,59589,219046
1.8,18751,156134
4.7,2372,485874
0.0,1537,155858
1.8,37562,123651
3.8,40854,148016
4.7,2082,110538
4.2,6560,17501404
1.6,30783,127714
2.7,34592,447175
2.5,6714,457226
4.1,52259,228802
4.1,33910,431071
4.2,3156,461306
4.1,7112,368407
2.1,3496,487445
3.1,34634,455868
1.9,27100,199847
1.2,47249,137476
1.4,2998,24297210
0.5,29322,154129
2.2,3980,213987
2.9,24425,447865
4.1,2783,109730
3.1,30382,153126
0.7,39636,157809
2.5,12942,159522
2.1,46921,451404
0.1,8408,457776
1.0,10875,478582
0.9,48997,195128
4.7,14403,366553
3.4,27192,229267
4.0,7812,130907
0.4,32918,200466
4.0,49674,133881
3.6,27636,486512
2.4,34997,458867
2.4,6262,241739
3.6,9167,219408
2.3,53300,222822
0.7,57403,177065
1.7,39411,484206
0.4,59118,206507
3.7,46802,165945
4.2,18978,159027
3.3,7845,377111
0.2,17983,486798
2.4,28997,189848
4.1,2583,455275
2.3,54769,128151
4.5,15943,240505
2.9,11167,477039
1.3,5180,235307
4.9,6260,196592
3.1,51687,198419
3.2,7779,495387
1.3,10336,136145
3.8,55606,44903803
0.1,48660,235097
2.7,56516,119164
3.5,40549,482291
4.8,14394,439914
0.0,21293,454810
0.5,3117,136145
3.9,35789,451547
0.4,54171,176169
1.1,22988,485698
1.1,22816,17557302
0.5,8230,159939
1.8,16127,139630
1.5,39266,174233
0.2,41257,367334
3.9,15579,114354
1.9,6274,160597
2.3,42077,242644
2.0,50142,170790
1.7,40813,170587
3.9,36941,402563
1.9,982,368036
2.6,54747,175883
2.8,20355,217712
4.2,58728,190071
4.9,2963,44867302
1.5,15606,475635
4.7,39115,461865
2.4,14050,38561903
2.5,1618,176789
2.8,5901,17706522
1.1,59002,481863
2.9,58936,102395
1.3,32914,483708
2.0,22846,486868
3.0,43512,165574
4.5,35904,13682601
0.6,26721,244613
4.2,30950,446127
4.3,41858,133942
1.9,16979,439491
2.8,39870,180814
1.1,59486,455859
2.7,37615,206084
4.1,57695,239390
4.5,9373,15085302
1.8,56865,213598
4.1,33063,384333
2.8,9583,168430
0.9,13854,194240
4.5,30699,190372
0.8,16265,240693
4.8,11123,232450
3.3,34845,401764
4.0,29398,153144
1.2,27707,488004
3.6,56056,24297208
2.0,8356,444778
3.3,30097,493488
2.6,29501,444255
2.5,33404,366605
1.2,3078,412535
3.2,21578,178369
4.0,12281,444468
3.3,51357,152567
0.5,14824,481191
1.4,6529,193900
0.4,48297,41724801
5.0,14651,17706508
4.9,17276,233329
3.9,37968,383163
0.6,10229,109086
0.6,4648,459064
0.3,38455,486691
2.3,14401,237127
4.7,10272,114734
0.1,43282,437732
2.3,34169,135081
4.2,57711,132879
1.8,39392,195474
2.0,46168,220400
4.7,18634,106713
0.8,56048,168281
0.4,42377,455354
4.0,40250,456074
1.3,48578,446118
0.2,35616,448895
2.5,27052,456038
1.8,27951,17733901
4.4,5116,130873
3.7,35921,189255
5.0,19712,479062
4.9,59626,137546
4.0,44470,15098710
1.4,29230,174817
3.8,45927,238324
2.1,5579,461847
3.1,10188,203535
4.0,51805,434441
0.8,56497,418302
3.2,25671,169275
2.0,14983,489159
0.0,18096,207342
4.2,37771,237127
2.2,14541,154095
1.6,39048,227924
4.3,54138,490090
0.1,41816,202523
0.1,47882,476717
4.4,7862,229832
4.9,37121,475468
3.6,26397,379621
2.4,13507,454768
0.5,9091,224244
2.1,53834,47503316
0.7,3869,219037
4.7,45582,485537
0.8,48168,418348
3.6,2905,459055
0.9,30217,455707
3.6,43963,20306702
0.4,9317,480550
4.9,35809,166683
3.3,39984,45891907
2.3,17664,186283
3.2,12088,204945
0.9,23346,407708
0.5,14623,163028
0.3,39828,228088
0.4,20374,48511112
0.4,13881,122791
3.2,38269,457794
0.1,55647,233611
4.7,20837,488998
2.4,15966,461795
3.5,13094,213507
2.1,6692,172422
0.9,3531,146278
3.7,49999,221731
1.7,47626,481508
1.6,16649,193609
1.8,28682,377193
4.0,18439,455105
0.7,12799,48400201
3.1,12156,451103
2.9,20095,438984
2.6,38236,496186
0.3,50690,180054
1.8,54714,434539
4.5,1940,200110
2.6,9136,130837
1.6,39070,461245
3.9,52092,491978
4.3,22189,114637
5.0,57833,454917
0.2,36932,166692
3.3,46255,187596
1.3,7684,36520401
4.3,17657,188289
3.5,16275,221838
1.9,32555,44936601
1.4,15461,133951
1.9,35333,121901
0.6,13322,490276
2.4,20454,197531
5.0,55368,45175002
0.4,47260,193478
4.3,10279,443951
1.3,7307,448673
3.7,49111,488350
0.2,46314,417886
1.0,15005,219277
4.4,44199,139199
1.9,10919,200192
3.2,17314,200846
5.0,14856,481447
1.6,48288,200800
5.0,13920,150136
1.5,4609,456454
2.8,17409,490346
4.5,39018,153144
3.3,26390,227225
3.7,51522,204431
3.5,33059,203775
4.5,48987,204635
2.1,10353,180984
2.9,53739,495970
0.4,32909,455956
3.5,28280,439783
3.9,50123,133386
3.7,35453,207069
4.7,22125,198109
2.3,8474,490869
0.4,3427,458007
2.5,40800,143491
2.8,6923,121691
1.9,15514,240657
1.1,24852,177719
2.1,58270,134228
4.3,7438,188696
1.3,16989,195474
1.2,29530,173683
3.8,27966,487746
3.7,11135,239877
3.5,20834,145691
0.5,42627,156727
4.2,58487,117238
1.0,27867,137209
4.9,16724,233426
0.5,2129,154129
4.7,30935,201946
2.2,59606,102270
0.4,15562,45937401
4.1,39891,483337
4.3,19851,439774
0.7,15514,440730
1.5,47721,229300
4.4,15618,24297220
1.4,48638,201098
2.0,4232,197018
2.8,58640,117645
2.7,23933,494728
2.1,49446,460172
2.0,24514,199926
0.6,42004,493512
0.1,16062,235237
2.6,15131,48511109
0.9,8818,207087
1.6,43216,16210401
2.6,20220,234915
4.0,48469,170037
4.3,24619,162210
3.5,10089,201946
0.4,35532,482176
2.1,12990,181312
2.1,41093,201478
3.4,21063,458229
0.6,15632,460181
1.4,53571,485768
1.5,4801,226125
3.4,43391,112686
0.1,25186,217581
1.7,9121,190318
1.7,13547,145813
0.7,42344,414063
0.7,49422,236595
4.9,8863,492722
1.6,35398,120421
2.0,12873,493530
3.2,28908,487898
1.7,34322,17706527
4.7,79,371830
2.7,31683,111188
4.7,911,447865
2.1,11068,198923
4.9,30358,18908808
3.1,38262,43018402
3.2,55,207582
4.9,19369,382957
3.7,37664,482705
4.8,11477,126818
0.3,52175,490319
3.3,27752,130314
4.0,19843,155715
4.9,36465,487889
4.5,20278,198871
3.3,3925,230366
0.7,22639,169521
4.7,24242,207342
0.7,79,117274
3.2,58394,153126
1.1,42091,123493
3.5,3648,495059
0.7,48320,487968
4.2,26228,101161
4.7,16008,421610
2.6,33431,184603
0.3,55870,482185
2.3,51164,241951
2.0,46095,173063
3.3,3311,166674
4.6,43591,481678
2.2,53929,199218
3.6,41446,171100
1.8,24163,161253
4.3,10974,491224
4.0,32276,462053
0.2,29075,197151
1.8,12322,149514
3.2,7457,216162
2.6,8706,185466
4.0,49845,10772501
3.0,40554,239372
1.6,39031,21429002
1.5,51808,49576705
1.5,36967,212656
2.5,48207,130624
2.4,34935,408729
1.3,13653,102030
0.5,32427,149514
4.9,6580,447935
3.8,57973,487816
2.3,31717,496186
2.4,29146,446109
3.4,49949,418038
4.3,3811,214175
0.3,39383,232052
0.2,5015,156860
0.5,24765,48387801
3.6,32973,198109
3.5,47193,207500
1.8,33846,156338
0.1,7175,17706544
1.0,51667,444732
4.7,58299,444398
3.7,40679,386472
3.1,39290,444219
2.4,28583,234924
4.8,8601,16884709
0.3,7088,193654
2.0,21125,154378
3.3,43307,139579
1.4,4233,437936
3.3,19664,135364
1.9,40889,111434
0.6,13427,222831
2.4,21837,222062
1.4,26832,243498
3.4,35005,119605
4.1,49037,177986
0.1,30789,433138
3.0,2873,193894
4.8,32291,227058
1.5,6049,102395
2.5,58573,488077
1.1,7817,156295
3.9,41900,491543
3.5,18615,154457
1.6,9152,223463
2.2,22241,440855
0.5,12052,164447
3.4,42414,10415111
2.9,1798,195322
1.7,3792,390905
3.5,4202,122889
3.0,22420,222877
3.2,43580,461795
2.3,37726,375656
1.4,41326,204839
2.2,49261,164085
3.1,18648,484923
4.1,59035,45891901
1.4,41622,418524
2.3,14289,459949
4.2,4785,227979
2.6,17603,208637
2.2,58683,122746
3.6,15320,160755
4.4,28795,157085
2.1,12266,13508114
4.1,11347,455868
1.7,15010,165112
1.9,44950,496423
3.5,55791,489238
0.1,9991,178518
4.5,12867,466930
1.8,48715,23368410
0.5,58053,196097
4.8,57577,212878
1.2,49696,44970002
2.0,18899,383525
1.1,45099,151290
3.7,22049,155283
3.7,34575,160472
3.1,35069,148584
0.0,25097,125763
1.7,34432,176983
3.5,43370,221050
0.6,32544,132851
2.9,48115,418001
